review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
drainage	GCA_000205145.2	Leptospirillum rubarum	SAMN02954271		absent			pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing					biofilm	terrestrial environment					United States	Isolation Source raw	pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing	non_source_descriptor_router
drainage	GCA_000262365.1	Leptospirillum sp. Group II 'C75'	SAMN02954275		absent			pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile					biofilm	terrestrial environment					United States	Isolation Source raw	pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile	non_source_descriptor_router
drainage	GCA_000305855.1	Francisella tularensis subsp. tularensis 80700103	SAMN02469755		Homo sapiens	Homo sapiens		hand drainage	drainage										United States	Isolation Source raw	hand drainage	ambiguous_context_router
drainage	GCA_000328425.1	Enterococcus faecium C309	SAMN02470931		Homo sapiens	Homo sapiens		peritoneal drainage fluids	drainage										China	Isolation Source raw	peritoneal drainage fluids	ambiguous_context_router
drainage	GCA_000373265.1	Pontibacter roseus DSM 17521	SAMN02441712		absent			muddy water from an occasional drainage system in Chandigarh, India	drainage	environmental material	environmental material		wastewater	wastewater/sewage					India	Isolation Site raw	muddy water from an occasional drainage system in Chandigarh, India	environment_context_router
drainage	GCA_000373265.1	Pontibacter roseus DSM 17521	SAMN02441712		absent			muddy water from an occasional drainage system in Chandigarh, India	drainage	environmental material	environmental material		wastewater	wastewater/sewage					India	Isolation Source raw	muddy water from an occasional drainage system in Chandigarh, India	environment_context_router
drainage	GCA_000376405.1	Dysgonomonas mossii DSM 22836	SAMN02441731		Homo sapiens	Homo sapiens		Human abdominal drainage	drainage										United States	Isolation Site raw	Human abdominal drainage	ambiguous_context_router
drainage	GCA_000376405.1	Dysgonomonas mossii DSM 22836	SAMN02441731		Homo sapiens	Homo sapiens		Human abdominal drainage	drainage										United States	Isolation Source raw	Human abdominal drainage	ambiguous_context_router
drainage	GCA_000496115.1	Leptospirillum sp. Group IV 'UBA BS'	SAMN02471615		absent			combined biofilm from UBA (pink subaerial biofilm) and UBA BS (thick floating biofilm subdivided into strips) samples	meat product	meat product	food/meat		biofilm						United States	Environment Broad raw	mine drainage metagenome	food_source_context
drainage	GCA_000528155.1	Staphylococcus aureus M0666	SAMN02325567		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000529135.1	Staphylococcus aureus M0625	SAMN02325626		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000529375.1	Staphylococcus aureus M0714	SAMN02325633		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000529415.1	Staphylococcus aureus M0726	SAMN02325634		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000534235.1	Klebsiella aerogenes UCI 28	SAMN02356608		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000536035.1	Staphylococcus aureus M1339	SAMN02363976		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000543405.1	Staphylococcus aureus M0746	SAMN02325688		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000543625.1	Staphylococcus aureus M0784	SAMN02325700		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000544185.1	Staphylococcus aureus M0824	SAMN02325729		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
drainage	GCA_000544285.1	Staphylococcus aureus M0836	SAMN02325735		Homo sapiens	Homo sapiens		jp drainage	drainage										United States	Isolation Source raw	jp drainage	ambiguous_context_router
drainage	GCA_000544865.1	Staphylococcus aureus M0885	SAMN02325783		Homo sapiens	Homo sapiens		drainage											United States	Isolation Source raw	drainage	ambiguous_context_router
