review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
egg	GCA_000280095.1	Salmonella enterica subsp. enterica serovar Enteritidis str. 639016-6	SAMN01041120		absent			egg wash water		environmental material	environmental material		agricultural/food-production water						United States	Isolation Source raw	egg wash water	environment_context_router
egg	GCA_000329965.1	Salmonella enterica subsp. enterica serovar Enteritidis str. 638970-15	SAMN01041119		absent			egg fresh shelled		egg fresh shelled									United States	Isolation Source raw	egg fresh shelled	standardizer
egg	GCA_000374625.1	Allobrachymonas chironomi DSM 19884	SAMN02441699		absent			Chironomid egg mass, waste stabilization pond		environmental material	environmental material		pond water	freshwater environment	pond				Israel	Isolation Site raw	Chironomid egg mass, waste stabilization pond	environment_context_router
egg	GCA_000374625.1	Allobrachymonas chironomi DSM 19884	SAMN02441699		absent			Chironomid egg mass, waste stabilization pond		environmental material	environmental material		pond water	freshwater environment	pond				Israel	Isolation Source raw	Chironomid egg mass, waste stabilization pond	environment_context_router
egg	GCA_000421845.1	Leucobacter chironomi DSM 19883	SAMN02441232		Chironomidae	chironomidae		Chironomid egg mass from a waste stabilization pond		environmental material	environmental material		pond water	freshwater environment	pond				Israel	Isolation Site raw	Chironomid egg mass from a waste stabilization pond	environment_context_router
egg	GCA_000421845.1	Leucobacter chironomi DSM 19883	SAMN02441232		Chironomidae	chironomidae		Chironomid egg mass from a waste stabilization pond		environmental material	environmental material		pond water	freshwater environment	pond				Israel	Isolation Source raw	Chironomid egg mass from a waste stabilization pond	environment_context_router
egg	GCA_000430545.1	Tenacibaculum ovolyticum DSM 18103	SAMN02441146		absent	Pleuronectiformes		Halibut Eggs		Halibut Eggs			marine	marine environment					Norway	Isolation Site raw	Halibut Eggs	standardizer
egg	GCA_000430545.1	Tenacibaculum ovolyticum DSM 18103	SAMN02441146		absent	Pleuronectiformes		Halibut Eggs		Halibut Eggs			marine	marine environment					Norway	Isolation Source raw	Halibut Eggs	standardizer
egg	GCA_000623675.2	Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970769	SAMN02384195		absent	Gallus gallus		Animal - Chicken-Egg											Canada	Isolation Source raw	Animal - Chicken-Egg	missing
egg	GCA_000671335.1	Ralstonia solanacearum Rs-09-161	SAMN02444146		absent	eggplant		eggplant		eggplant									India	Isolation Source raw	eggplant	standardizer
egg	GCA_000708695.3	Pseudomonas [fluorescens] ATCC 17400	SAMN02644483		absent			hen's egg		hen's egg									United States	Isolation Source raw	hen's egg	standardizer
egg	GCA_001027865.1	Neisseria arctica	SAMN03177367		Anser albifrons	Anser albifrons		Nonviable goose egg		Nonviable goose egg									United States	Isolation Source raw	Nonviable goose egg	standardizer
egg	GCA_001042915.1	Pseudomonas taetrolens	SAMN03328798		unknown			musty egg		musty egg									absent	Isolation Source raw	musty egg	standardizer
egg	GCA_001043095.1	Salmonella enterica subsp. enterica serovar Cerro	SAMN03256207		absent			commercial egg-producing farm	farm	clinical/host-associated material	clinical/host-associated material				farm				Japan	Isolation Source raw	commercial egg-producing farm	sample_context_router
egg	GCA_001184245.1	Leuconostoc mesenteroides subsp. dextranicum	SAMN03463642		absent			Taleggio cheese	microbial isolate	dairy food	food/dairy								Italy	Isolation Source raw	Taleggio cheese	food_source_context
egg	GCA_001184255.1	Leuconostoc mesenteroides subsp. mesenteroides	SAMN03463665		absent			Taleggio cheese	microbial isolate	dairy food	food/dairy								Italy	Isolation Source raw	Taleggio cheese	food_source_context
egg	GCA_001184265.1	Leuconostoc mesenteroides subsp. cremoris	SAMN03463677		absent			Taleggio cheese	microbial isolate	dairy food	food/dairy								Italy	Isolation Source raw	Taleggio cheese	food_source_context
egg	GCA_001313325.1	Streptomyces drozdowiczii JCM 13580	SAMD00016931		absent			egg											absent	Isolation Source raw	egg	missing
egg	GCA_001313725.1	Gordonia amicalis NBRC 100051 = JCM 11271	SAMD00016921		absent			egg											absent	Isolation Source raw	egg	missing
egg	GCA_001313845.1	Pseudonocardia chloroethenivorans JCM 12679	SAMD00016926		absent			egg											absent	Isolation Source raw	egg	missing
