review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
farm	GCA_000021885.1	Glaesserella parasuis SH0165	SAMN02603313		swine	Sus scrofa		isolated from a Glasser's disease outbreak farm	farm	clinical/host-associated material	clinical/host-associated material				farm		diseased		China	Isolation Source raw	isolated from a Glasser's disease outbreak farm	sample_context_router
farm	GCA_000176035.2	Mesorhizobium opportunistum WSM2075	SAMN02232036		Biserrula pelecinus L	biserrula pelecinus		Antonio's farm, Antonio Rd.	farm	agricultural environment	agricultural environment		soil	plant-associated environment	farm				Australia	Isolation Site raw	Antonio's farm, Antonio Rd, Northam, Western Australia	environment_context_router
farm	GCA_000176035.2	Mesorhizobium opportunistum WSM2075	SAMN02232036		Biserrula pelecinus L	biserrula pelecinus		Antonio's farm, Antonio Rd.	farm	agricultural environment	agricultural environment		soil	plant-associated environment	farm				Australia	Isolation Source raw	Antonio's farm, Antonio Rd.	environment_context_router
farm	GCA_000185745.1	Taylorella equigenitalis MCE9	SAMN02602972		Equus caballus	Equus caballus		urethral fossa of 4 year-old stallion from a stud farm		clinical/host-associated material	clinical/host-associated material	urogenital tract			farm				France	Isolation Source raw	urethral fossa of 4 year-old stallion from a stud farm	sample_context_router
farm	GCA_000191665.1	Escherichia fergusonii ECD227	SAMN02470542		Gallus gallus domesticus	Gallus gallus		a healthy broiler chicken at farm	broiler	clinical/host-associated material	clinical/host-associated material				farm	healthy/no disease reported	healthy		Canada	Isolation Source raw	a healthy broiler chicken at farm	sample_context_router
farm	GCA_000226625.1	Taylorella asinigenitalis MCE3	SAMN02602982		donkey	Equus asinus		genital tract of 6 year-old jack from a stud farm	farm	clinical/host-associated material	clinical/host-associated material				farm				France	Isolation Source raw	genital tract of 6 year-old jack from a stud farm	sample_context_router
farm	GCA_000230995.3	Mesorhizobium australicum WSM2073	SAMN02232035		Biserrula pelecinus L	biserrula pelecinus		Antoni's farm, Antonio Rd.	farm	agricultural environment	agricultural environment		soil	host-associated environment	farm				Australia	Isolation Site raw	Antonio's farm, Antonio Rd, Northam, Western Australia	environment_context_router
farm	GCA_000230995.3	Mesorhizobium australicum WSM2073	SAMN02232035		Biserrula pelecinus L	biserrula pelecinus		Antoni's farm, Antonio Rd.	farm	agricultural environment	agricultural environment		soil	host-associated environment	farm				Australia	Isolation Source raw	Antoni's farm, Antonio Rd.	environment_context_router
farm	GCA_000240465.2	Mycobacterium avium subsp. paratuberculosis Env 210	SAMN02472020		absent			soil and untensils from dairy farm	dairy farm	dairy food	food/dairy		soil	food-associated environment	dairy farm				absent	Isolation Source raw	soil and untensils from dairy farm	food_source_context
farm	GCA_000240505.2	Mycobacterium avium subsp. avium Env 77	SAMN02472016		absent			soil and untensils from a dairy farm	dairy farm	dairy food	food/dairy		soil	food-associated environment	dairy farm				absent	Isolation Source raw	soil and untensils from a dairy farm	food_source_context
farm	GCA_000254295.2	Campylobacter jejuni subsp. jejuni LMG 23216	SAMN02428944		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	broiler feces from chicken farm collected between 1998-2001	sample_context_router
farm	GCA_000254315.2	Campylobacter jejuni subsp. jejuni LMG 23218	SAMN02429006		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	broiler feces from chicken farm collected between 1998-2001	sample_context_router
farm	GCA_000254335.2	Campylobacter jejuni subsp. jejuni LMG 23223	SAMN02428945		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	broiler feces from chicken farm collected between 1998-2001	sample_context_router
farm	GCA_000254415.2	Campylobacter jejuni subsp. jejuni LMG 23269	SAMN02428961		chicken	Gallus gallus		water ditch of chicken farm between 1998-2001	farm	agricultural environment	agricultural environment		drainage/runoff water		farm				Belgium	Isolation Source raw	water ditch of chicken farm between 1998-2001	environment_context_router
farm	GCA_000255075.2	Campylobacter jejuni subsp. jejuni LMG 23210	SAMN02428966		chicken	Gallus gallus		broiler feces collected from farm sometime between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	broiler feces collected from farm sometime between 1998-2001	sample_context_router
farm	GCA_000255095.2	Campylobacter jejuni subsp. jejuni LMG 23211	SAMN02429052		chicken	Gallus gallus		feces collected from farm sometime between 1998-2001	farm	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	feces collected from farm sometime between 1998-2001	sample_context_router
farm	GCA_000275905.1	Pseudomonas fluorescens NZI7	SAMN02471730		absent	Agaricales		mushroom shed on a farm	farm	clinical/host-associated material	clinical/host-associated material				farm				New Zealand	Isolation Source raw	mushroom shed on a farm	sample_context_router
farm	GCA_000275925.1	Pseudomonas fluorescens NZ052	SAMN02471725		Agaricus bisporus	Agaricus bisporus		mushroom caps exhibiting blotch discolorations at a mushroom farm	farm	clinical/host-associated material	clinical/host-associated material				farm				New Zealand	Isolation Source raw	mushroom caps exhibiting blotch discolorations at a mushroom farm	sample_context_router
farm	GCA_000280805.1	Pseudomonas fluorescens NZ007	SAMN02471734		Agaricus bisporus	Agaricus bisporus		mushroom caps exhibiting blotch discolorations at a mushroom farm	farm	clinical/host-associated material	clinical/host-associated material				farm				New Zealand	Isolation Source raw	mushroom caps exhibiting blotch discolorations at a mushroom farm	sample_context_router
farm	GCA_000325705.1	Echinicola vietnamensis DSM 17526	SAMN02232018		absent			seawater from mussel farm	farm	environmental material	environmental material		marine	marine environment	farm				Vietnam	Isolation Site raw	Seawater collected in a musselfarm; Vietnam, South China Sea, Nha Trang Bay	environment_context_router
