review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
fish	GCA_000251125.2	Staphylococcus saprophyticus subsp. saprophyticus KACC 16562	SAMN02469603		absent	Actinopterygii		fish with high-pressure treatment		seafood/aquatic food product	aquatic food product								South Korea	Isolation Source raw	fish with high-pressure treatment	food_source_context
fish	GCA_000272695.1	Salmonella enterica subsp. enterica serovar Newport str. CVM 19449	SAMN01813413		absent			fish food	fish product	seafood/aquatic food product	aquatic food product			food-associated environment					Hong Kong	Isolation Source raw	fish food	food_source_context
fish	GCA_000292365.1	Serratia marcescens W2.3	SAMN02471845		absent	Actinopterygii		sick tilapia fish		seafood/aquatic food product	aquatic food product						diseased		Malaysia	Isolation Source raw	sick tilapia fish	food_source_context
fish	GCA_000300355.4	Photobacterium damselae subsp. piscicida DI21	SAMN02471934		gilthead seabream	gilthead seabream		liver of fish with pasteurellosis		host-associated context	host-associated context								Spain	Isolation Source raw	liver of fish with pasteurellosis	sample_context_router
fish	GCA_000300535.1	Bacillus xiamenensis	SAMN02471164		Tenualosa reevesii	Tenualosa reevesii		seafish (Tenualosa reevesii) from sea close to Xiamen		seafish (Tenualosa reevesii) from sea close to Xiamen				marine environment					China	Isolation Source raw	seafish (Tenualosa reevesii) from sea close to Xiamen	standardizer
fish	GCA_000302475.3	Streptococcus agalactiae	SAMN02603506		Oreochromis niloticus (Nile tilapia)	Oreochromis niloticus		kidney of infected fish		host-associated context	host-associated context								Brazil	Isolation Source raw	kidney of infected fish	sample_context_router
fish	GCA_000321905.1	Enterococcus faecium EnGen0029	SAMN00779816		absent	Actinopterygii		Fish burger		seafood/aquatic food product	aquatic food product								Norway	Isolation Source raw	Fish burger	food_source_context
fish	GCA_000330725.2	Mariniradius saccharolyticus AK6	SAMN02469987		absent			seawater of a fish culture pond	culture	environmental material	environmental material		seawater	marine environment	pond				India	Isolation Source raw	seawater of a fish culture pond	environment_context_router
fish	GCA_000331915.2	Streptococcus iniae IUSA1	SAMN02471473		Sparus aurata	Sparus aurata		fish											Spain	Isolation Source raw	fish	missing
fish	GCA_000342305.2	Vibrio vulnificus VVyb1(BT3)	SAMN02471035		tilapia fish	Actinopterygii													Israel	Host raw	tilapia fish	missing
fish	GCA_000353835.1	Clostridium botulinum CB11/1-1	SAMN02471792		absent			Finnish food, fish roe	fish product	seafood/aquatic food product	aquatic food product			food-associated environment					Finland	Isolation Source raw	Finnish food, fish roe	food_source_context
fish	GCA_000403625.1	Streptococcus iniae SF1	SAMN02603405		fish		fish												China	Host raw	fish	missing
fish	GCA_000409545.1	Aeromonas veronii PhIn2	SAMN02471783		absent	Actinopterygii		fish intestine	gut content	seafood/aquatic food product	aquatic food product	gastrointestinal tract							India	Isolation Source raw	fish intestine	food_source_context
fish	GCA_000412715.2	Pseudomonas plecoglossicida NB2011	SAMN02472181		Larimichthys crocea	Larimichthys crocea		spleen of the diseased large yellow croaker fish		clinical/host-associated material	clinical/host-associated material	organ/tissue site				diseased	diseased		China	Isolation Source raw	spleen of the diseased large yellow croaker fish	sample_context_router
fish	GCA_000422325.1	Marinospirillum minutulum DSM 6287	SAMN02440684		absent			Marine shellfish		seafood/aquatic food product	aquatic food product		marine	marine environment					absent	Isolation Site raw	Marine shellfish	food_source_context
fish	GCA_000422325.1	Marinospirillum minutulum DSM 6287	SAMN02440684		absent			Marine shellfish		seafood/aquatic food product	aquatic food product		marine	marine environment					absent	Isolation Source raw	Marine shellfish	food_source_context
fish	GCA_000422665.1	Ferrimonas senticii DSM 18821	SAMN02440848		Arothron hispidus	Arothron hispidus		Mucus of a puffer fish (Arothron hispidus)		seafood/aquatic food product	aquatic food product		marine	marine environment					United States	Environment Broad raw	Host; Marine; Fish	food_source_context
fish	GCA_000422665.1	Ferrimonas senticii DSM 18821	SAMN02440848		Arothron hispidus	Arothron hispidus		Mucus of a puffer fish (Arothron hispidus)		seafood/aquatic food product	aquatic food product		marine	marine environment					United States	Isolation Site raw	Mucus of a puffer fish (Arothron hispidus)	food_source_context
fish	GCA_000422665.1	Ferrimonas senticii DSM 18821	SAMN02440848		Arothron hispidus	Arothron hispidus		Mucus of a puffer fish (Arothron hispidus)		seafood/aquatic food product	aquatic food product		marine	marine environment					United States	Isolation Source raw	Mucus of a puffer fish (Arothron hispidus)	food_source_context
fish	GCA_000430545.1	Tenacibaculum ovolyticum DSM 18103	SAMN02441146		absent	Pleuronectiformes		Halibut Eggs		Halibut Eggs			marine	marine environment					Norway	Environment Broad raw	Marine; Host; Fish	standardizer
