review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
fish gut	GCA_001185465.1	Vibrio harveyi	SAMN02948029		Holocentrus sp.	holocentrus		squirrelfish gut	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract			gut/fecal local context				Bahamas	Isolation Source raw	squirrelfish gut	sample_context_router
fish gut	GCA_001983455.1	Candidatus Epulonipiscium fishelsonii	SAMN04027070		Acanthurus nigrofuscus	Acanthurus nigrofuscus		foregut; single cell amplified by MDA	single cell	clinical/host-associated material	clinical/host-associated material				gut/fecal local context				Saudi Arabia	Environment Local raw	Surgeonfish gut	sample_context_router
fish gut	GCA_018904615.1	Verticiella alkaliphila	SAMN16427092		Lepidocephalichthys guntea	Lepidocephalichthys guntea													India	Environment Broad raw	Fish gut	missing
fish gut	GCA_018904635.1	Rhodococcus sp. GG48	SAMN16451880		Lepidocephalichthys guntea	Lepidocephalichthys guntea		fish gut	gut content	host-associated context	host-associated context				gut/fecal local context				India	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_018904655.1	Shigella sp. GCP5	SAMN16456367		Lepidocephalichthys guntea	Lepidocephalichthys guntea		fish gut	gut content	host-associated context	host-associated context				gut/fecal local context				India	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_018904675.1	Bacillus sp. GG161	SAMN16451878		Lepidocephalichthys guntea	Lepidocephalichthys guntea		fish gut	gut content	host-associated context	host-associated context				gut/fecal local context				India	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_022048975.1	Sporosarcina cyprini	SAMN25526410		Cyprinus carpio	Cyprinus carpio		gut	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract			gut/fecal local context				India	Sample Type raw	Fish gut content	sample_context_router
fish gut	GCA_024297105.1	Bacillus sp. KRF7	SAMN29548490		Sebastes schlegelii	Sebastes schlegelii							seawater	marine environment					South Korea	Environment Broad raw	Fish gut	missing
fish gut	GCA_024543085.1	Granulicatella seriolae	SAMN29932823		fish	Actinopterygii		fish gut	single cell	host-associated context	host-associated context				gut/fecal local context				South Korea	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024803605.1	Shewanella baltica	SAMN14595194		absent	Scombridae		Atlantic Mackerel	gut content	clinical/host-associated material	clinical/host-associated material	gut content			gut/fecal local context				Norway	Sample Type raw	fish gut	sample_context_router
fish gut	GCA_024998875.1	Shewanella baltica	SAMN13656461		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024998885.1	Shewanella baltica	SAMN13656463		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024998925.1	Shewanella baltica	SAMN13656462		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024998945.1	Shewanella baltica	SAMN13656460		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024998965.1	Shewanella baltica	SAMN13656459		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024998985.1	Shewanella baltica	SAMN13656457		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024998995.1	Shewanella baltica	SAMN13656458		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024999025.1	Shewanella baltica	SAMN13656455		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024999045.1	Shewanella baltica	SAMN13656447		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
fish gut	GCA_024999065.1	Shewanella baltica	SAMN13656452		Atlantic Mackerel	Scombridae		fish gut	culture	host-associated context	host-associated context				gut/fecal local context				Norway	Isolation Source raw	fish gut	sample_context_router
