review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
influent	GCA_000269865.1	Fictibacillus macauensis ZFHKF-1	SAMN02471793		absent			influent of drinking water plant		environmental material	environmental material		drinking/distribution water	plant-associated environment					China	Isolation Source raw	influent of drinking water plant	environment_context_router
influent	GCA_002937035.1	Paracoccus denitrificans	SAMN08369766		absent			Okhla sewage treatment plant		environmental material	environmental material		sewage	wastewater/sewage					India	Sample Type raw	Waste Water influent	environment_context_router
influent	GCA_003957865.1	Serratia marcescens	SAMN10149539		absent			marine	environmental sample	environmental material	environmental material		marine	marine environment					United States	Isolation Site raw	WWTP influent	environment_context_router
influent	GCA_009646175.1	Klebsiella pneumoniae	SAMN13151935		absent			Wastewater Influent		environmental material	environmental material		wastewater	wastewater/sewage					Romania	Isolation Source raw	Wastewater Influent	environment_context_router
influent	GCA_009646305.1	Klebsiella pneumoniae	SAMN13151934		absent			Wastewater Influent		environmental material	environmental material		wastewater	wastewater/sewage					Romania	Isolation Source raw	Wastewater Influent	environment_context_router
influent	GCA_012189105.1	Escherichia coli	SAMN08055022		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012245345.1	Escherichia coli	SAMN08055021		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012245505.1	Escherichia coli	SAMN08054977		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012245625.1	Escherichia coli	SAMN08055028		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012246305.1	Escherichia coli	SAMN08055020		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012246325.1	Escherichia coli	SAMN08054992		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012246345.1	Escherichia coli	SAMN08055019		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012246405.1	Escherichia coli	SAMN08055012		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012246445.1	Escherichia coli	SAMN08055013		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012247985.1	Escherichia coli	SAMN08054984		absent			water influent		environmental material	environmental material		water						United States	Isolation Source raw	water influent	environment_context_router
influent	GCA_012555545.1	Escherichia coli	SAMN04763836		absent			influent of waste water treatment plant		environmental material	environmental material		wastewater	plant-associated environment					Hong Kong	Isolation Source raw	influent of waste water treatment plant	environment_context_router
influent	GCA_013038785.1	Escherichia coli	SAMN07682638		absent			Hospital influent		healthcare facility	healthcare-associated environment			healthcare-associated environment	healthcare facility				China	Isolation Source raw	Hospital influent	context_dictionary
influent	GCA_013038855.1	Escherichia coli	SAMN07682641		absent			Hospital influent		healthcare facility	healthcare-associated environment			healthcare-associated environment	healthcare facility				China	Isolation Source raw	Hospital influent	context_dictionary
influent	GCA_013039125.1	Escherichia coli	SAMN07682623		absent			Hospital influent		healthcare facility	healthcare-associated environment			healthcare-associated environment	healthcare facility				China	Isolation Source raw	Hospital influent	context_dictionary
influent	GCA_013039145.1	Escherichia coli	SAMN07682621		absent			Hospital influent		healthcare facility	healthcare-associated environment			healthcare-associated environment	healthcare facility				China	Isolation Source raw	Hospital influent	context_dictionary
