review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
lettuce	GCA_000240785.2	Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06	SAMN00754301		unknown	Lactuca sativa		iceberg head of lettuce	lettuce	plant/produce food product	food								absent	Isolation Source raw	iceberg head of lettuce	food_source_context
lettuce	GCA_000498635.1	Enterobacter asburiae L1	SAMN02471838		absent	Lactuca sativa		lettuce leaf		plant-associated material	plant-associated material	leaf tissue							Malaysia	Isolation Source raw	lettuce leaf	host_context_router
lettuce	GCA_000525975.1	Listeria rocourtiae FSL F6-920	SAMN02671250		absent			Lettuce											Austria	Isolation Source raw	Lettuce	missing
lettuce	GCA_000632395.1	Enterobacter asburiae L1	SAMN02716203		absent														Malaysia	Environment Broad raw	Lettuce	missing
lettuce	GCA_000632395.1	Enterobacter asburiae L1	SAMN02716203		absent														Malaysia	Environment Medium raw	LETTUCE	missing
lettuce	GCA_000671295.1	Escherichia coli O145:H28 str. RM12581	SAMN03081527		absent			lettuce											United States	Isolation Source raw	lettuce	missing
lettuce	GCA_000737665.1	Chryseobacterium formosense	SAMN02937280		absent	Lactuca sativa		garden lettuce	lettuce	plant/produce food product	food								Taiwan	Isolation Source raw	garden lettuce	food_source_context
lettuce	GCA_001006565.1	Morganella morganii	SAMN03145039		absent	Lactuca sativa		Lettuce Leaves	lettuce	plant/produce food product	food	leaf tissue							Malaysia	Isolation Source raw	Lettuce Leaves	food_source_context
lettuce	GCA_001044855.1	Bacillus cereus	SAMN03325944		absent			Lettuce											Netherlands	Isolation Source raw	Lettuce	missing
lettuce	GCA_001266615.1	Kluyvera genomosp. 1	SAMN03008042		lettuce	Lactuca sativa		leaves	leaves	clinical/host-associated material	clinical/host-associated material	leaf tissue							Malaysia	Host raw	lettuce	sample_context_router
lettuce	GCA_001588455.1	Salmonella enterica subsp. enterica serovar Typhimurium	SAMN03941119		absent			lettuce											Brazil	Isolation Source raw	lettuce	missing
lettuce	GCA_001605885.1	Acinetobacter lactucae	SAMN04437545		absent	Lactuca sativa		Lettuce leaf		plant-associated material	plant-associated material	leaf tissue							United States	Isolation Source raw	Lettuce leaf	host_context_router
lettuce	GCA_001677495.1	Escherichia coli	SAMN02808333		absent			lettuce											United States	Isolation Source raw	lettuce	missing
lettuce	GCA_001677515.1	Escherichia coli	SAMN02688213		Homo sapiens	Homo sapiens		bagged lettuce	lettuce	plant/produce food product	food								absent	Isolation Source raw	bagged lettuce	food_source_context
lettuce	GCA_001709315.1	Pantoea agglomerans	SAMN05444153		absent			lettuce											China	Isolation Source raw	lettuce	missing
lettuce	GCA_001714545.1	Salmonella enterica subsp. enterica serovar Typhimurium	SAMN02844332		absent	Lactuca sativa		loose leaf lettuce		plant-associated material	plant-associated material	leaf tissue							Mexico	Isolation Source raw	loose leaf lettuce	host_context_router
lettuce	GCA_001907955.1	Klebsiella pneumoniae	SAMN06132264		absent			Lettuce											Brazil	Isolation Source raw	Lettuce	missing
lettuce	GCA_002133255.1	Listeria monocytogenes	SAMN04414044		absent	Lactuca sativa		Bagged Lettuce	lettuce	plant/produce food product	food								United States	Isolation Source raw	Bagged Lettuce	food_source_context
lettuce	GCA_002220325.1	Listeria monocytogenes	SAMN05363481		absent			Lettuce											South Korea	Isolation Source raw	Lettuce	missing
lettuce	GCA_002220345.1	Salmonella enterica subsp. enterica serovar Enteritidis	SAMN05363482		absent			Lettuce											South Korea	Isolation Source raw	Lettuce	missing
