review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
manure	GCA_000212915.1	Bacteroides coprosuis DSM 18011	SAMN02256469		Sus scrofa	Sus scrofa		Pig faeces, swine manure; USA	feces/stool			manure	manure						United States	Isolation Source raw	Pig faeces, swine manure; USA	missing
manure	GCA_000381765.1	[Zimmermannella] faecalis ATCC 13722	SAMN02440490		absent	Bos taurus		cow manure	manure	environmental material	environmental material	manure	manure						absent	Isolation Site raw	cow manure	environment_context_router
manure	GCA_000381765.1	[Zimmermannella] faecalis ATCC 13722	SAMN02440490		absent	Bos taurus		cow manure	manure	environmental material	environmental material	manure	manure						absent	Isolation Source raw	cow manure	environment_context_router
manure	GCA_000401915.1	Thermobifida fusca TM51	SAMN02471029		absent	Equus caballus		hot region of horse manure compost (70-80C)	manure	environmental material	environmental material	manure	manure						Hungary	Isolation Source raw	hot region of horse manure compost (70-80C)	environment_context_router
manure	GCA_000518565.1	Thermoanaerobacter thermocopriae JCM 7501	SAMN02584976		absent	Bos taurus		composted cattle manure, Japan	manure	environmental material	environmental material	manure	manure						Japan	Isolation Site raw	composted cattle manure, Japan	environment_context_router
manure	GCA_000518565.1	Thermoanaerobacter thermocopriae JCM 7501	SAMN02584976		absent	Bos taurus		composted cattle manure, Japan	manure	environmental material	environmental material	manure	manure						Japan	Isolation Source raw	composted cattle manure, Japan	environment_context_router
manure	GCA_000585195.1	Aliarcobacter lanthieri	SAMN02951875		dairy cattle	Bos taurus		dairy cow manure storage tank	manure			manure	manure	food-associated environment					Canada	Isolation Source raw	dairy cow manure storage tank	missing
manure	GCA_000623515.2	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20083636	SAMN02384211		absent			Environment - Litter/Manure	manure	environmental material	environmental material	manure	manure						Canada	Isolation Source raw	Environment - Litter/Manure	environment_context_router
manure	GCA_000625655.2	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20085285	SAMN02384210		absent			Environment - Litter/Manure	manure	environmental material	environmental material	manure	manure						Canada	Isolation Source raw	Environment - Litter/Manure	environment_context_router
manure	GCA_000625855.2	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20082034	SAMN02384209		absent			Environment - Litter/Manure	manure	environmental material	environmental material	manure	manure						Canada	Isolation Source raw	Environment - Litter/Manure	environment_context_router
manure	GCA_000716435.1	Streptomyces xylophagus	SAMN02645193		absent			barn-yard manure	manure	environmental material	environmental material	manure	manure						absent	Isolation Source raw	barn-yard manure	environment_context_router
manure	GCA_000768675.1	Knoellia flava TL1	SAMN03144714		absent	Sus scrofa		pig manure	manure			manure	manure						China	Isolation Source raw	pig manure	missing
manure	GCA_001512425.1	Clostridiaceae bacterium DTU054	SAMN03778951			Bos taurus		pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)	manure			manure	wastewater	wastewater/sewage					Denmark	Isolation Source raw	pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)	missing
manure	GCA_001512435.1	Halothermothrix sp. DTU029	SAMN03778950		absent	Bos taurus		pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)	manure			manure	wastewater	wastewater/sewage					Denmark	Isolation Source raw	pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)	missing
