review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
market	GCA_000242375.2	Campylobacter jejuni subsp. jejuni P110B	SAMN00113350		chicken	Gallus gallus		fresh, whole chicken carcass purchased from a supermarket	chicken carcass	poultry meat/product	food/meat								New Zealand	Isolation Source raw	fresh, whole chicken carcass purchased from a supermarket	food_source_context
market	GCA_000465555.2	Pantoea dispersa EGD-AAK13	SAMN02469686		absent			vegetable market soil	vegetable	environmental material	environmental material		soil	terrestrial environment					India	Isolation Source raw	vegetable market soil	environment_context_router
market	GCA_000465635.2	Acinetobacter baumannii EGD-HP18	SAMN02469690		absent			vegetable market soil	vegetable	environmental material	environmental material		soil	terrestrial environment					India	Isolation Source raw	vegetable market soil	environment_context_router
market	GCA_000604165.1	Bacillus paralicheniformis G-1	SAMN02385726		absent			Retail supermarket		Retail supermarket									Australia	Isolation Source raw	Retail supermarket	standardizer
market	GCA_000756285.1	Heyndrickxia coagulans	SAMN02905869		absent			marketed probiotic product		marketed probiotic product									Italy	Isolation Source raw	marketed probiotic product	standardizer
market	GCA_001183595.1	Aeromonas caviae	SAMN03778994		absent			supermarket		supermarket									China	Isolation Source raw	supermarket	standardizer
market	GCA_001279615.1	Streptomyces sp. NRRL F-7442	SAMN02900653		absent			Ragi-local market		Ragi-local market									Indonesia	Isolation Source raw	Ragi-local market	standardizer
market	GCA_001291485.1	Campylobacter coli	SAMEA3487068		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291505.1	Campylobacter jejuni	SAMEA3487080		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291525.1	Campylobacter coli	SAMEA3487049		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291545.1	Campylobacter coli	SAMEA3487074		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291565.1	Campylobacter coli	SAMEA3487061		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291585.1	Campylobacter jejuni	SAMEA3487084		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291605.1	Campylobacter coli	SAMEA3487054		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291625.1	Campylobacter coli	SAMEA3487059		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291645.1	Campylobacter coli	SAMEA3487045		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291665.1	Campylobacter coli	SAMEA3487063		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291685.1	Campylobacter coli	SAMEA3487057		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291705.1	Campylobacter coli	SAMEA3487060		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
market	GCA_001291725.1	Campylobacter coli	SAMEA3487075		Chicken	Gallus gallus		Supermarket		Supermarket									United Kingdom	Isolation Source raw	Supermarket	standardizer
