review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
mud	GCA_000023065.1	Tolumonas auensis DSM 9187	SAMN02598508		absent			sediment of freshwater lake		environmental material	environmental material		freshwater	freshwater environment	lake				Switzerland	Isolation Site raw	freshwater mud	environment_context_router
mud	GCA_000025645.1	Thermoanaerobacter italicus Ab9	SAMN02598495		absent			Mud, thermal spa; Italy, Abano Terme		Mud, thermal spa; Italy, Abano Terme									Italy	Isolation Site raw	Mud, thermal spa; Italy, Abano Terme	standardizer
mud	GCA_000025645.1	Thermoanaerobacter italicus Ab9	SAMN02598495		absent			Mud, thermal spa; Italy, Abano Terme		Mud, thermal spa; Italy, Abano Terme									Italy	Isolation Source raw	Mud, thermal spa; Italy, Abano Terme	standardizer
mud	GCA_000092945.1	Thermincola carboxydiphila JR	SAMN02598533		absent			sludge reactor		environmental material	environmental material		sludge	wastewater/sewage					United States	Isolation Site raw	sludge reactor; East Bay MUD; Oakland, CA	environment_context_router
mud	GCA_000143965.1	Desulfarculus baarsii DSM 2075	SAMN02598521		absent			ditch mud		ditch mud									Germany	Environment Broad raw	Mud	standardizer
mud	GCA_000143965.1	Desulfarculus baarsii DSM 2075	SAMN02598521		absent			ditch mud		ditch mud									Germany	Isolation Site raw	Ditch mud; Germany	standardizer
mud	GCA_000143965.1	Desulfarculus baarsii DSM 2075	SAMN02598521		absent			ditch mud		ditch mud									Germany	Isolation Source raw	ditch mud	standardizer
mud	GCA_000158155.1	gamma proteobacterium NOR5-3	SAMN02436223					top oxic layer of a muddy sediment core	core	environmental material	environmental material		sediment	aquatic sediment environment					Germany	Isolation Source raw	top oxic layer of a muddy sediment core	environment_context_router
mud	GCA_000158175.1	Luminiphilus syltensis NOR5-1B	SAMN02436313		absent			top oxic layer of a muddy sediment core	core	environmental material	environmental material		sediment	aquatic sediment environment					Germany	Isolation Source raw	top oxic layer of a muddy sediment core	environment_context_router
mud	GCA_000165505.1	Ilyobacter polytropus DSM 2926	SAMN00116458		absent			marine mud		environmental material	environmental material		marine	marine environment					Germany	Isolation Site raw	Marine mud from Germany	environment_context_router
mud	GCA_000165505.1	Ilyobacter polytropus DSM 2926	SAMN00116458		absent			marine mud		environmental material	environmental material		marine	marine environment					Germany	Isolation Source raw	marine mud	environment_context_router
mud	GCA_000166115.1	Nitratidesulfovibrio vulgaris RCH1	SAMN00002688		absent								seawater	terrestrial environment					absent	Environment Broad raw	Animal intestinal microflora, Fresh water, Mud, Sea water, Soil	missing
mud	GCA_000175795.2	Ruminiclostridium papyrosolvens DSM 2782	SAMN00002727		absent			estuarine sediment from River Don		environmental material	environmental material		sediment	estuarine environment	river				United Kingdom	Environment Broad raw	Mud	environment_context_router
mud	GCA_000176915.2	Pseudodesulfovibrio aespoeensis Aspo-2	SAMN00713573		absent			granitic rock aquifer at 600 m depth		environmental material	environmental material		seawater	terrestrial environment					Sweden	Environment Broad raw	Animal intestinal microflora, Fresh water, Mud, Sea water, Soil	environment_context_router
mud	GCA_000177215.2	Solidesulfovibrio carbinoliphilus subsp. oakridgensis	SAMN02256536		absent			ORFRC groundwater during biostimulation for uranium bioreduction		environmental material	environmental material		agricultural/food-production water	terrestrial environment	groundwater				absent	Environment Broad raw	Fresh water, Animal intestinal microflora, Mud, Sea water, Soil	environment_context_router
mud	GCA_000179555.1	Solidesulfovibrio fructosivorans JJ]	SAMN00103625		absent			marine marsh sediment		environmental material	environmental material		sediment	aquatic sediment environment					United States	Environment Broad raw	Mud	environment_context_router
mud	GCA_000184705.1	Thermaerobacter marianensis DSM 12885	SAMN00713570		absent			mud from the Challenger Deep in the Mariana Trench at a depth of 10897 m		mud from the Challenger Deep in the Mariana Trench at a depth of 10897 m									Pacific Ocean	Environment Broad raw	Mud	standardizer
mud	GCA_000184705.1	Thermaerobacter marianensis DSM 12885	SAMN00713570		absent			mud from the Challenger Deep in the Mariana Trench at a depth of 10897 m		mud from the Challenger Deep in the Mariana Trench at a depth of 10897 m									Pacific Ocean	Isolation Site raw	mud from the Challenger Deep in the Mariana Trench at a depth of 10897m	standardizer
mud	GCA_000184705.1	Thermaerobacter marianensis DSM 12885	SAMN00713570		absent			mud from the Challenger Deep in the Mariana Trench at a depth of 10897 m		mud from the Challenger Deep in the Mariana Trench at a depth of 10897 m									Pacific Ocean	Isolation Source raw	mud from the Challenger Deep in the Mariana Trench at a depth of 10897 m	standardizer
mud	GCA_000186885.1	Desulfobulbus propionicus DSM 2032	SAMN00713581		absent			freshwater mud		environmental material	environmental material		marine sediment	aquatic sediment environment					Germany	Isolation Site raw	Freshwater mud in Germany	environment_context_router
