review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
oyster	GCA_000259295.1	Vibrio tubiashii NCIMB 1337 = ATCC 19106	SAMN02470815		Crassostrea virginica	Crassostrea virginica		Oyster spat from moribund oyster		seafood/aquatic food product	aquatic food product								absent	Isolation Source raw	Oyster spat from moribund oyster	food_source_context
oyster	GCA_000430405.1	Vibrio parahaemolyticus O1:Kuk str. FDA_R31	SAMN02179882		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000455385.1	Aquipseudomonas alcaligenes OT 69	SAMN02471815		oyster	Ostreidae		mantle tissue	tissue	clinical/host-associated material	clinical/host-associated material								absent	Host raw	oyster	sample_context_router
oyster	GCA_000455665.1	Stutzerimonas stutzeri MF28	SAMN02471812		Crassostrea virginica	Crassostrea virginica		oyster mantle fluid	bodily fluid	clinical/host-associated material	clinical/host-associated material								United States	Isolation Source raw	oyster mantle fluid	sample_context_router
oyster	GCA_000455685.1	Stenotrophomonas maltophilia MF89	SAMN02471816		Crassostrea virginica	Crassostrea virginica		oyster mantle fluid	bodily fluid	clinical/host-associated material	clinical/host-associated material								United States	Isolation Source raw	oyster mantle fluid	sample_context_router
oyster	GCA_000455825.1	Microbacterium maritypicum MF109	SAMN02471823		Crassostrea virginica	Crassostrea virginica		oyster mantle fluid	bodily fluid	clinical/host-associated material	clinical/host-associated material								United States	Isolation Source raw	oyster mantle fluid	sample_context_router
oyster	GCA_000487835.1	Salmonella enterica subsp. enterica serovar Norwich str. CFSAN001077	SAMN01816343		absent			raw oyster	oyster product	seafood/aquatic food product	aquatic food product								absent	Isolation Source raw	raw oyster	food_source_context
oyster	GCA_000487875.1	Salmonella enterica subsp. enterica serovar Hartford str. CFSAN001075	SAMN01816341		absent			raw oyster	oyster product	seafood/aquatic food product	aquatic food product								absent	Isolation Source raw	raw oyster	food_source_context
oyster	GCA_000500445.1	Vibrio parahaemolyticus VIP4-0430	SAMN02471135		absent			oyster											Hong Kong	Isolation Source raw	oyster	missing
oyster	GCA_000500545.1	Vibrio parahaemolyticus VIP4-0447	SAMN02471137		Homo sapiens	Homo sapiens		oyster											Hong Kong	Isolation Source raw	oyster	missing
oyster	GCA_000518705.1	Shewanella colwelliana ATCC 39565	SAMN02584968		absent	Ostreidae		Estuarine aquaculture unit containing juvenile oysters, Lewes, DE		Estuarine aquaculture unit containing juvenile oysters, Lewes, DE				estuarine environment					absent	Isolation Site raw	Estuarine aquaculture unit containing juvenile oysters, Lewes, DE	standardizer
oyster	GCA_000518705.1	Shewanella colwelliana ATCC 39565	SAMN02584968		absent	Ostreidae		Estuarine aquaculture unit containing juvenile oysters, Lewes, DE		Estuarine aquaculture unit containing juvenile oysters, Lewes, DE				estuarine environment					absent	Isolation Source raw	Estuarine aquaculture unit containing juvenile oysters, Lewes, DE	standardizer
oyster	GCA_000707085.2	Vibrio parahaemolyticus	SAMN02741393		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000707185.2	Vibrio parahaemolyticus	SAMN02741395		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000707265.2	Vibrio parahaemolyticus	SAMN02741401		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000707285.2	Vibrio parahaemolyticus	SAMN02741392		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000707345.2	Vibrio parahaemolyticus	SAMN02741402		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000707365.2	Vibrio parahaemolyticus	SAMN02741394		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000707645.2	Vibrio parahaemolyticus	SAMN02741399		absent			oyster											United States	Isolation Source raw	oyster	missing
oyster	GCA_000707665.2	Vibrio parahaemolyticus	SAMN02741400		absent			oyster											United States	Isolation Source raw	oyster	missing
