review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
oyster tissue	GCA_042311555.1	Vibrio parahaemolyticus	SAMN43905423		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311575.1	Vibrio parahaemolyticus	SAMN43905422		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311875.1	Vibrio parahaemolyticus	SAMN43905432		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311895.1	Vibrio parahaemolyticus	SAMN43905434		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311915.1	Vibrio parahaemolyticus	SAMN43905433		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311935.1	Vibrio parahaemolyticus	SAMN43905435		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311955.1	Vibrio parahaemolyticus	SAMN43905436		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311975.1	Vibrio parahaemolyticus	SAMN43905438		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042311995.1	Vibrio parahaemolyticus	SAMN43905440		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
oyster tissue	GCA_042312015.1	Vibrio parahaemolyticus	SAMN43905439		Magallana gigas	Magallana gigas		Raw oyster tissue enriched in Alkaline Peptone Water	tissue	host-associated context	host-associated context		chemically distinct water						United States	Isolation Source raw	Raw oyster tissue enriched in Alkaline Peptone Water	sample_context_router
