review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
pig	GCA_000024205.1	Desulfofarcimen acetoxidans DSM 771	SAMN02598455		absent			Piggery waste in Gottingen, Germany		Piggery waste in Gottingen, Germany									Germany	Isolation Site raw	Piggery waste in Gottingen, Germany	standardizer
pig	GCA_000024205.1	Desulfofarcimen acetoxidans DSM 771	SAMN02598455		absent			Piggery waste in Gottingen, Germany		Piggery waste in Gottingen, Germany									Germany	Isolation Source raw	Piggery waste in Gottingen, Germany	standardizer
pig	GCA_000025305.1	Acidaminococcus fermentans DSM 20731	SAMN02598507		Sus scrofa	Sus scrofa		Pig gut	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract			gut/fecal local context				absent	Isolation Site raw	Pig gut	sample_context_router
pig	GCA_000025305.1	Acidaminococcus fermentans DSM 20731	SAMN02598507		Sus scrofa	Sus scrofa		Pig gut	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract			gut/fecal local context				absent	Isolation Source raw	Pig gut	sample_context_router
pig	GCA_000168355.3	Streptococcus suis 05HAS68	SAMN02469350		pig	Sus scrofa													absent	Host raw	pig	missing
pig	GCA_000179035.2	Mycoplasma suis str. Illinois	SAMN02603730		pig	Sus scrofa		blood of an infected pig	blood										absent	Host raw	pig	missing
pig	GCA_000179035.2	Mycoplasma suis str. Illinois	SAMN02603730		pig	Sus scrofa		blood of an infected pig	blood										absent	Isolation Source raw	blood of an infected pig	missing
pig	GCA_000186225.1	Bacteroides helcogenes P 36-108	SAMN00138952		Sus scrofa	Sus scrofa		feces	feces/stool	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				absent	Isolation Site raw	Pig faeces	sample_context_router
pig	GCA_000187605.2	Helicobacter suis HS5	SAMN02469775		pig	Sus scrofa		porcine gastric mucosa		porcine gastric mucosa									absent	Host raw	pig	standardizer
pig	GCA_000187625.2	Helicobacter suis HS1	SAMN02469776		pig	Sus scrofa		porcine gastric mucosa		porcine gastric mucosa									absent	Host raw	pig	standardizer
pig	GCA_000194115.1	Lactobacillus amylovorus GRL1118	SAMN02603307		pig	Sus scrofa		ileum	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract							absent	Host raw	pig	sample_context_router
pig	GCA_000194475.2	Escherichia coli 9.1649	SAMN02436636		pig	Sus scrofa													absent	Host raw	pig	missing
pig	GCA_000194535.2	Escherichia coli 2.3916	SAMN02436637		pig	Sus scrofa													absent	Host raw	pig	missing
pig	GCA_000194705.2	Escherichia coli B41	SAMN02436334		pig	Sus scrofa													United States	Host raw	pig	missing
pig	GCA_000212915.1	Bacteroides coprosuis DSM 18011	SAMN02256469		Sus scrofa	Sus scrofa		Pig faeces, swine manure; USA	feces/stool			manure	manure						United States	Isolation Source raw	Pig faeces, swine manure; USA	missing
pig	GCA_000219475.3	Lactobacillus johnsonii pf01	SAMN02469597		pig	Sus scrofa													absent	Host raw	pig	missing
pig	GCA_000222995.2	Mycoplasmopsis columbina SF7	SAMN02469897		absent	Columba livia		pigeons		pigeons									China	Isolation Source raw	pigeons	standardizer
pig	GCA_000259135.1	Escherichia coli AI27	SAMN02470913		pig	Sus scrofa		feces	feces/stool	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				South Korea	Host raw	pig	sample_context_router
pig	GCA_000259545.1	Pasteurella multocida subsp. multocida str. 3480	SAMN02603505		pig	Sus scrofa		lung of animal with pneumonia		host-associated context	host-associated context					pneumonia	diseased		absent	Host raw	pig	sample_context_router
pig	GCA_000268365.1	Yersinia pestis PY-06	SAMN02141453		guinea pig	Cavia porcellus		blood [ENVO:02000020]	blood	clinical/host-associated material	clinical/host-associated material			terrestrial environment					Peru	Host raw	guinea pig	sample_context_router
