review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
sand	GCA_000183425.1	Marivirga tractuosa DSM 4126	SAMN00138949		absent			beach sand		beach sand									Vietnam	Isolation Site raw	beach sand from Nha Trang	standardizer
sand	GCA_000183425.1	Marivirga tractuosa DSM 4126	SAMN00138949		absent			beach sand		beach sand									Vietnam	Isolation Source raw	beach sand	standardizer
sand	GCA_000222485.1	Cyclobacterium marinum DSM 745	SAMN02261369		absent			Coelomic fluid of a sand dollar	bodily fluid	clinical/host-associated material	clinical/host-associated material								absent	Isolation Source raw	Coelomic fluid of a sand dollar	sample_context_router
sand	GCA_000231385.3	Desulfosporosinus meridiei DSM 13257	SAMN02261405		absent			Groundwater contaminated with aromatic compounds from motor fuel in sandy soil from Eden Hill, Swan Coastal Plain, Perth, Western Australia		environmental material	environmental material		groundwater	terrestrial environment	groundwater				Australia	Isolation Source raw	Groundwater contaminated with aromatic compounds from motor fuel in sandy soil from Eden Hill, Swan Coastal Plain, Perth, Western Australia	environment_context_router
sand	GCA_000236705.1	Owenweeksia hongkongensis DSM 17368	SAMN02261417		absent			Sea water (sand filtered); China, Hong Kong		environmental material	environmental material		agricultural/food-production water	marine environment					China	Isolation Source raw	Sea water (sand filtered); China, Hong Kong	environment_context_router
sand	GCA_000258765.1	Gillisia marina	SAMN02470140		absent			marine sand		environmental material	environmental material		marine	marine environment					South Korea	Isolation Source raw	marine sand	environment_context_router
sand	GCA_000259095.1	Citreicella sp. 357	SAMN02471399		absent			polluted sand sample from Praia da Seda beach after the Prestige tanker accident											Spain	Isolation Source raw	polluted sand sample from Praia da Seda beach after the Prestige tanker accident	non_source_descriptor_router
sand	GCA_000283015.1	Algibacter luteus	SAMN02470927		absent			intertidal sand of Yellow Sea		intertidal sand of Yellow Sea				marine environment					China	Isolation Source raw	intertidal sand of Yellow Sea	standardizer
sand	GCA_000379445.1	Fangia hongkongensis FSC776 = DSM 21703	SAMN02256423		absent			seawater at the outlet of a sandfilter in Port Shelter, Hong Kong SAR, China		environmental material	environmental material		marine	marine environment					Hong Kong	Isolation Source raw	seawater at the outlet of a sandfilter in Port Shelter, Hong Kong SAR, China	environment_context_router
sand	GCA_000379465.1	Sciscionella marina DSM 45152	SAMN02256422		absent			Marine sand sediment at a depth of about 500 m, the northern South China Sea		environmental material	environmental material		sediment	marine environment					China	Environment Broad raw	Sand; Sediment; Marine; Aquatic	environment_context_router
sand	GCA_000379465.1	Sciscionella marina DSM 45152	SAMN02256422		absent			Marine sand sediment at a depth of about 500 m, the northern South China Sea		environmental material	environmental material		sediment	marine environment					China	Isolation Source raw	Marine sand sediment at a depth of about 500 m, the northern South China Sea	environment_context_router
sand	GCA_000379805.1	Lewinella cohaerens DSM 23179	SAMN02256444		absent			Beach sand, Biarritz, France		Beach sand, Biarritz, France			marine	marine environment					France	Environment Broad raw	Sand; Marine	standardizer
sand	GCA_000379805.1	Lewinella cohaerens DSM 23179	SAMN02256444		absent			Beach sand, Biarritz, France		Beach sand, Biarritz, France			marine	marine environment					France	Isolation Source raw	Beach sand, Biarritz, France	standardizer
sand	GCA_000379885.1	Nonomuraea coxensis DSM 45129	SAMN02256440		absent			sandy soil from Cox's Bazar, Bangladesh		environmental material	environmental material		soil	terrestrial environment					Bangladesh	Isolation Source raw	sandy soil from Cox's Bazar, Bangladesh	environment_context_router
sand	GCA_000385985.1	Bacillus subtilis PS216	SAMN02009237		absent			sandy soil		environmental material	environmental material		soil	terrestrial environment					Slovenia	Isolation Source raw	sandy soil	environment_context_router
sand	GCA_000420465.1	Desulfovibrio desulfuricans DSM 642	SAMN02440572		absent			Tar and sand mixture surrounding corroded gas main in waterlogged clay		Tar and sand mixture surrounding corroded gas main in waterlogged clay									United Kingdom	Environment Broad raw	Sand	standardizer
sand	GCA_000420465.1	Desulfovibrio desulfuricans DSM 642	SAMN02440572		absent			Tar and sand mixture surrounding corroded gas main in waterlogged clay		Tar and sand mixture surrounding corroded gas main in waterlogged clay									United Kingdom	Isolation Site raw	Tar and sand mixture surrounding corroded gas main in waterlogged clay	standardizer
sand	GCA_000420465.1	Desulfovibrio desulfuricans DSM 642	SAMN02440572		absent			Tar and sand mixture surrounding corroded gas main in waterlogged clay		Tar and sand mixture surrounding corroded gas main in waterlogged clay									United Kingdom	Isolation Source raw	Tar and sand mixture surrounding corroded gas main in waterlogged clay	standardizer
sand	GCA_000422465.1	Paenibacillus harenae DSM 16969	SAMN02441473		absent			desert sand sample											China	Environment Broad raw	Sand	non_source_descriptor_router
sand	GCA_000422465.1	Paenibacillus harenae DSM 16969	SAMN02441473		absent			desert sand sample											China	Isolation Site raw	desert sand sample	non_source_descriptor_router
