review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
shellfish	GCA_000422325.1	Marinospirillum minutulum DSM 6287	SAMN02440684		absent			Marine shellfish		seafood/aquatic food product	aquatic food product		marine	marine environment					absent	Isolation Site raw	Marine shellfish	food_source_context
shellfish	GCA_000422325.1	Marinospirillum minutulum DSM 6287	SAMN02440684		absent			Marine shellfish		seafood/aquatic food product	aquatic food product		marine	marine environment					absent	Isolation Source raw	Marine shellfish	food_source_context
shellfish	GCA_000685215.1	Hyphomonas jannaschiana VP2	SAMN02746699		absent			shellfish beds in the Pacific Ocean		seafood/aquatic food product	aquatic food product			marine environment					Pacific Ocean	Isolation Source raw	shellfish beds in the Pacific Ocean	food_source_context
shellfish	GCA_000685255.1	Hyphomonas hirschiana VP5	SAMN02746696		absent			shellfish beds in the Pacific Ocean		seafood/aquatic food product	aquatic food product			marine environment					Pacific Ocean	Isolation Source raw	shellfish beds in the Pacific Ocean	food_source_context
shellfish	GCA_000688235.1	Terasakiella pusilla DSM 6293	SAMN02743896		absent			putrid marine shellfish		seafood/aquatic food product	aquatic food product		marine	marine environment					absent	Isolation Site raw	putrid marine shellfish	food_source_context
shellfish	GCA_000688235.1	Terasakiella pusilla DSM 6293	SAMN02743896		absent			putrid marine shellfish		seafood/aquatic food product	aquatic food product		marine	marine environment					absent	Isolation Source raw	putrid marine shellfish	food_source_context
shellfish	GCA_000750295.1	Salmonella enterica subsp. enterica serovar Enteritidis	SAMN02941165		absent			shellfish monitoring program		seafood/aquatic food product	aquatic food product								Canada	Isolation Source raw	shellfish monitoring program	food_source_context
shellfish	GCA_000772065.1	Vibrio coralliilyticus	SAMN02940923		absent			Shellfish Hatchery		seafood/aquatic food product	aquatic food product								United States	Isolation Source raw	Shellfish Hatchery	food_source_context
shellfish	GCA_000816785.1	Campylobacter peloridis LMG 23910	SAMN03248547		absent			Shellfish											Netherlands	Isolation Source raw	Shellfish	missing
shellfish	GCA_000832195.1	Bacillus subtilis	SAMN03282622		absent			Fish, fish products and shellfish	cell culture	seafood/aquatic food product	aquatic food product								Netherlands	Isolation Source raw	Fish, fish products and shellfish	food_source_context
shellfish	GCA_001276105.1	Citrobacter amalonaticus	SAMN03982883		absent			shellfish											Malaysia	Environment Broad raw	shellfish	missing
shellfish	GCA_001276105.1	Citrobacter amalonaticus	SAMN03982883		absent			shellfish											Malaysia	Isolation Source raw	shellfish	missing
shellfish	GCA_001276125.1	Citrobacter amalonaticus	SAMN03982941		absent			shellfish											Malaysia	Isolation Source raw	shellfish	missing
shellfish	GCA_001399455.2	Vibrio bivalvicida	SAMN04145357		Ruditapes decussatus	Ruditapes decussatus		Shellfish hatchery		seafood/aquatic food product	aquatic food product								Spain	Isolation Source raw	Shellfish hatchery	food_source_context
shellfish	GCA_001639065.2	Vibrio barjaei	SAMN04221167		Ruditapes decussatus	Ruditapes decussatus		Shellfish hatchery		seafood/aquatic food product	aquatic food product								Spain	Isolation Source raw	Shellfish hatchery	food_source_context
shellfish	GCA_001913705.1	Thalassotalea sp. PP2-459	SAMN05821920		Ruditapes decussatus	Ruditapes decussatus		calm larvae in shellfish hatchery		seafood/aquatic food product	aquatic food product								Spain	Isolation Source raw	calm larvae in shellfish hatchery	food_source_context
shellfish	GCA_001975625.1	Salmonella enterica subsp. enterica serovar Wandsworth str. SA20092095	SAMN04160802		absent			Shellfish: Shrimp	seafood	seafood/aquatic food product	aquatic food product								Canada	Isolation Source raw	Shellfish: Shrimp	food_source_context
shellfish	GCA_002002385.1	Vibrio sp. SALL6	SAMN06011221		absent			shellfish											Malaysia	Isolation Source raw	shellfish	missing
shellfish	GCA_002002405.1	Vibrio sp. OULL4	SAMN06011220		absent			shellfish											Malaysia	Isolation Source raw	shellfish	missing
shellfish	GCA_003568725.2	Simplicispira metamorpha	SAMN09951381		absent			putrid infusion of shellfish		seafood/aquatic food product	aquatic food product		agricultural/food-production water						Japan	Environment Medium raw	putrid infusion of shellfish	food_source_context
