review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
shrimp	GCA_000259935.1	Vibrio harveyi CAIM 1792	SAMN02469604		Penaeus vannamei	Penaeus vannamei		diseased shrimp lesion	seafood	seafood/aquatic food product	aquatic food product					diseased	diseased		Mexico	Isolation Source raw	diseased shrimp lesion	food_source_context
shrimp	GCA_000272915.1	Salmonella enterica subsp. enterica serovar Newport str. CVM 19443	SAMN01765623		absent			shrimp											India	Isolation Source raw	shrimp	missing
shrimp	GCA_000350525.1	Leucobacter salsicius M1-8	SAMN02470216		absent			Korean salt-fermented food 'Shrimp Jeotgal'	shrimp product	seafood/aquatic food product	aquatic food product			food-associated environment					South Korea	Isolation Source raw	Korean salt-fermented food 'Shrimp Jeotgal'	food_source_context
shrimp	GCA_000388025.1	Vibrio parahaemolyticus v110	SAMN02471143		Homo sapiens	Homo sapiens		shrimp											China	Isolation Source raw	shrimp	missing
shrimp	GCA_000428145.1	Chitinilyticum litopenaei DSM 21440	SAMN02441212		absent			Freshwater pond for Pacific white shrimp (Litopenaeus vannamei )	seafood	environmental material	environmental material		agricultural/food-production water	freshwater environment	pond				Taiwan	Isolation Site raw	Freshwater pond for Pacific white shrimp (Litopenaeus vannamei )	environment_context_router
shrimp	GCA_000428145.1	Chitinilyticum litopenaei DSM 21440	SAMN02441212		absent			Freshwater pond for Pacific white shrimp (Litopenaeus vannamei )	seafood	environmental material	environmental material		agricultural/food-production water	freshwater environment	pond				Taiwan	Isolation Source raw	Freshwater pond for Pacific white shrimp (Litopenaeus vannamei )	environment_context_router
shrimp	GCA_000430805.1	Chitinilyticum aquatile DSM 21506	SAMN02440690		absent			surface water of freshwater pond used for culture of Pacific white shrimp	culture	environmental material	environmental material		freshwater	freshwater environment	pond				Taiwan	Isolation Site raw	surface water of freshwater pond used for culture of Pacific white shrimp	environment_context_router
shrimp	GCA_000430805.1	Chitinilyticum aquatile DSM 21506	SAMN02440690		absent			surface water of freshwater pond used for culture of Pacific white shrimp	culture	environmental material	environmental material		freshwater	freshwater environment	pond				Taiwan	Isolation Source raw	surface water of freshwater pond used for culture of Pacific white shrimp	environment_context_router
shrimp	GCA_000439415.2	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189	SAMN01823701		absent			frozen raw shrimp	shrimp product	seafood/aquatic food product	aquatic food product								India	Isolation Source raw	frozen raw shrimp	food_source_context
shrimp	GCA_000477395.2	Bacillus licheniformis CG-B52	SAMN02316555		Penaeus vannamei	Penaeus vannamei		shrimp hemolymph from Caribbean coast	seafood	seafood/aquatic food product	aquatic food product								Colombia	Isolation Source raw	shrimp hemolymph from Caribbean coast	food_source_context
shrimp	GCA_000484415.1	Salmonella enterica subsp. enterica serovar Agona str. 620239	SAMN02415157		absent			food, raw black tiger shrimp	shrimp product	seafood/aquatic food product	aquatic food product			food-associated environment					absent	Isolation Source raw	food, raw black tiger shrimp	food_source_context
shrimp	GCA_000591415.1	Cobetia crustatorum	SAMN02640257		absent			fermented shrimp	seafood	seafood/aquatic food product	aquatic food product								North Korea	Isolation Source raw	fermented shrimp	food_source_context
shrimp	GCA_000715205.1	Bacillus zhangzhouensis	SAMN02870955		absent			seawater from the shrimp farm	seafood	seafood/aquatic food product	aquatic food product		seawater	marine environment	farm				China	Isolation Source raw	seawater from the shrimp farm	food_source_context
shrimp	GCA_000732245.1	Vibrio parahaemolyticus	SAMN02867584		penaeid shrimp	Arthropoda		stomach	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract							Vietnam	Host raw	penaeid shrimp	sample_context_router
shrimp	GCA_000736325.1	Vibrio parahaemolyticus	SAMN02910585		absent			shrimp pond		environmental material	environmental material		pond water	freshwater environment	pond				China	Isolation Source raw	shrimp pond	environment_context_router
shrimp	GCA_000736345.1	Vibrio parahaemolyticus	SAMN02910586		absent			shrimp pond sediment	seafood	environmental material	environmental material		pond sediment	aquatic sediment environment	pond				Thailand	Isolation Source raw	shrimp pond sediment	environment_context_router
shrimp	GCA_000747985.1	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000224	SAMN01942308		absent			shrimp											United States	Isolation Source raw	shrimp	missing
shrimp	GCA_000748145.1	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000196	SAMN01942240		absent			frozen shrimp	seafood	seafood/aquatic food product	aquatic food product								India	Isolation Source raw	frozen shrimp	food_source_context
shrimp	GCA_000748225.1	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000202	SAMN01942309		absent			raw shrimp	shrimp product	seafood/aquatic food product	aquatic food product								Vietnam	Isolation Source raw	raw shrimp	food_source_context
shrimp	GCA_000748305.1	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000215	SAMN00862338		absent			shrimp											absent	Isolation Source raw	shrimp	missing
