review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
surface	GCA_000012805.1	Nitrosococcus oceani ATCC 19707	SAMN02598329		absent			seawater		environmental material	environmental material		seawater	marine environment					Atlantic Ocean	Environment Broad raw	surface waters	environment_context_router
surface	GCA_000023125.1	Dyadobacter fermentans DSM 18053	SAMN02598437		Zea mays	Zea mays		Surface sterilized stems from Zea mays											United States	Isolation Site raw	Surface sterilized stems from Zea mays	ambiguous_context_router
surface	GCA_000023125.1	Dyadobacter fermentans DSM 18053	SAMN02598437		Zea mays	Zea mays		Surface sterilized stems from Zea mays											United States	Isolation Source raw	Surface sterilized stems from Zea mays	ambiguous_context_router
surface	GCA_000092105.1	Planctopirus limnophila DSM 3776	SAMN02598463		absent			surface water		environmental material	environmental material		surface water						absent	Isolation Site raw	Surface water	environment_context_router
surface	GCA_000092105.1	Planctopirus limnophila DSM 3776	SAMN02598463		absent			surface water		environmental material	environmental material		surface water						absent	Isolation Source raw	surface water	environment_context_router
surface	GCA_000148645.1	Ferrimonas balearica DSM 9799	SAMN00115627		absent			surface sediment		environmental material	environmental material		marine	marine environment					Spain	Isolation Site raw	Surface sediment in harbor of Palma de Mallorca, Spain	environment_context_router
surface	GCA_000148645.1	Ferrimonas balearica DSM 9799	SAMN00115627		absent			surface sediment		environmental material	environmental material		marine	marine environment					Spain	Isolation Source raw	surface sediment	environment_context_router
surface	GCA_000153125.2	Congregibacter litoralis KT71	SAMN02436113		absent			surface waters		environmental material	environmental material		surface water						Germany	Isolation Source raw	surface waters	environment_context_router
surface	GCA_000155655.1	Nitrosococcus oceani AFC27	SAMN02436179		absent			seawater		environmental material	environmental material		seawater	marine environment					Pacific Ocean	Environment Broad raw	surface waters	environment_context_router
surface	GCA_000161815.1	Ruegeria sp. TrichCH4B	SAMN02436261		absent			Trichodesmium colonies collected on the surface of the Caribbean Sea						marine environment					absent	Isolation Source raw	Trichodesmium colonies collected on the surface of the Caribbean Sea	ambiguous_context_router
surface	GCA_000161835.1	Thalassobium sp. R2A62	SAMN02436219		absent			Subsurface water samples were collected at 10 m in Niskinbottles at a station located 8 km west of the mouth of Yaquina Bay, OR		environmental material	environmental material	oral cavity	surface water						absent	Isolation Source raw	Subsurface water samples were collected at 10 m in Niskinbottles at a station located 8 km west of the mouth of Yaquina Bay, OR	environment_context_router
surface	GCA_000166195.3	Mucilaginibacter paludis DSM 18603	SAMN02256535		absent	Sphagnum		sample collected from 10-20 cm below the surface of the the acidic Sphagnum peat bog Bakchar											Russia	Isolation Source raw	sample collected from 10-20 cm below the surface of the the acidic Sphagnum peat bog Bakchar	ambiguous_context_router
surface	GCA_000172635.2	Alteromonas macleodii ATCC 27126	SAMN02603229		absent			seawater surface		environmental material	environmental material		seawater	marine environment					Pacific Ocean	Isolation Source raw	seawater surface	environment_context_router
surface	GCA_000176355.1	Citromicrobium bathyomarinum JL354	SAMN02471020		absent			surface water of South China Sea		environmental material	environmental material		surface water	marine environment					China	Isolation Source raw	surface water of South China Sea	environment_context_router
surface	GCA_000179775.1	Ahrensia sp. R2A130	SAMN00010388		absent			Subsurface (10-m) water samples were collected in Niskinbottles at a station located 8 km west of the mouth of Yaquina Bay, Oregon		environmental material	environmental material	oral cavity	surface water						United States	Isolation Source raw	Subsurface (10-m) water samples were collected in Niskinbottles at a station located 8 km west of the mouth of Yaquina Bay, Oregon	environment_context_router
surface	GCA_000183545.3	Thermaerobacter subterraneus DSM 13965	SAMN00116773		absent			open drain run-off channel of a bore in the Great Artesian Basin	drain	environmental material	environmental material		sediment	aquatic sediment environment					Australia	Isolation Site raw	open drain run-off channel of a bore in the Great Artesian Basin (GAB) of Australia. &#65279;The GAB is a deep, multi-layered, subsurface, geothermal aquifer that underlies approximately 20% of Australia's landmass, mainly the arid and semi-arid regions.	environment_context_router
surface	GCA_000186265.1	Cellulophaga algicola DSM 14237	SAMN00190054		absent			surfaces of algal species from Antarctic marine coast and sea ice		environmental material	environmental material		sea ice	marine environment					absent	Isolation Site raw	surfaces of algal species from the Antarctic marine coast and sea ice	environment_context_router
surface	GCA_000186265.1	Cellulophaga algicola DSM 14237	SAMN00190054		absent			surfaces of algal species from Antarctic marine coast and sea ice		environmental material	environmental material		sea ice	marine environment					absent	Isolation Source raw	surfaces of algal species from Antarctic marine coast and sea ice	environment_context_router
surface	GCA_000204195.2	Acidovorax radicis N35	SAMN02469888		Triticum aestivum	Triticum aestivum		crushed surface-sterilized wheat roots				plant root/rhizosphere							absent	Isolation Source raw	crushed surface-sterilized wheat roots	ambiguous_context_router
surface	GCA_000218485.2	Aquimarina agarivorans	SAMN02470930		absent	Viridiplantae		surface of seaweed						marine environment					absent	Isolation Source raw	surface of seaweed	ambiguous_context_router
