review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
swine	GCA_000021885.1	Glaesserella parasuis SH0165	SAMN02603313		swine	Sus scrofa		isolated from a Glasser's disease outbreak farm	farm	clinical/host-associated material	clinical/host-associated material				farm		diseased		China	Host raw	swine	sample_context_router
swine	GCA_000092845.1	Brachyspira murdochii DSM 12563	SAMN00001910		Swine	Sus scrofa		intestinal contents of healthy swine	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract			gut/fecal local context	healthy/no disease reported	healthy		Canada	Host raw	Swine	sample_context_router
swine	GCA_000092845.1	Brachyspira murdochii DSM 12563	SAMN00001910		Swine	Sus scrofa		intestinal contents of healthy swine	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract			gut/fecal local context	healthy/no disease reported	healthy		Canada	Isolation Site raw	intestinal contents of healthy swine	sample_context_router
swine	GCA_000092845.1	Brachyspira murdochii DSM 12563	SAMN00001910		Swine	Sus scrofa		intestinal contents of healthy swine	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract			gut/fecal local context	healthy/no disease reported	healthy		Canada	Isolation Source raw	intestinal contents of healthy swine	sample_context_router
swine	GCA_000145705.1	Mesomycoplasma hyorhinis HUB-1	SAMN02603209		swine	Sus scrofa		respiratory tract of swine	respiratory sample	clinical/host-associated material	clinical/host-associated material	respiratory tract							China	Host raw	swine	sample_context_router
swine	GCA_000145705.1	Mesomycoplasma hyorhinis HUB-1	SAMN02603209		swine	Sus scrofa		respiratory tract of swine	respiratory sample	clinical/host-associated material	clinical/host-associated material	respiratory tract							China	Isolation Source raw	respiratory tract of swine	sample_context_router
swine	GCA_000195275.1	Treponema succinifaciens DSM 2489	SAMN00713601		absent	Sus scrofa		colon	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract							absent	Isolation Site raw	colon of swine	sample_context_router
swine	GCA_000212915.1	Bacteroides coprosuis DSM 18011	SAMN02256469		Sus scrofa	Sus scrofa		Pig faeces, swine manure; USA	feces/stool			manure	manure						United States	Isolation Source raw	Pig faeces, swine manure; USA	missing
swine	GCA_000230775.2	Yersinia enterocolitica subsp. palearctica PhRBD_Ye1	SAMN02404397		swine	Sus scrofa													Philippines	Host raw	swine	missing
swine	GCA_000236665.1	Azospira oryzae PS	SAMN02232011		absent			swine waste primary lagoon sediment		environmental material	environmental material		soil	terrestrial environment					United States	Isolation Site raw	sediment, swine waste primary lagoon	environment_context_router
swine	GCA_000236665.1	Azospira oryzae PS	SAMN02232011		absent			swine waste primary lagoon sediment		environmental material	environmental material		soil	terrestrial environment					United States	Isolation Source raw	swine waste primary lagoon sediment	environment_context_router
swine	GCA_000253415.2	Campylobacter coli 111-3	SAMN02428935		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000253435.2	Campylobacter coli 90-3	SAMN02428936		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000253615.2	Campylobacter coli 84-2	SAMN02428937		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000253755.2	Campylobacter coli 7--1	SAMN02429021		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000253775.2	Campylobacter coli 132-6	SAMN02429058		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000253835.2	Campylobacter coli 59-2	SAMN02429022		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000253935.2	Campylobacter coli 67-8	SAMN02429061		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000254095.2	Campylobacter coli 151-9	SAMN02428943		swine	Sus scrofa													United States	Host raw	swine	missing
swine	GCA_000272715.4	Salmonella enterica subsp. enterica serovar Newport str. CVM 21550	SAMN01765627		Sus scrofa domesticus	Sus scrofa domesticus		swine											absent	Isolation Source raw	swine	missing
