review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
tomato	GCA_000177455.1	Pseudomonas syringae pv. tomato K40	SAMN02472092		tomato	Solanum lycopersicum		tomato seedling in spring 2005	tomato	plant/produce food product	food								United States	Host raw	tomato	food_source_context
tomato	GCA_000177455.1	Pseudomonas syringae pv. tomato K40	SAMN02472092		tomato	Solanum lycopersicum		tomato seedling in spring 2005	tomato	plant/produce food product	food								United States	Isolation Source raw	tomato seedling in spring 2005	food_source_context
tomato	GCA_000177475.1	Pseudomonas syringae pv. tomato Max13	SAMN02472093		tomato	Solanum lycopersicum													France	Host raw	tomato	missing
tomato	GCA_000177495.1	Pseudomonas syringae pv. tomato NCPPB 1108	SAMN02472091		tomato	Solanum lycopersicum													United Kingdom	Host raw	tomato	missing
tomato	GCA_000259895.1	Streptomyces sp. TOR3209	SAMN02469879		tomato	Solanum lycopersicum		tomato rhizosphere		plant-associated material	plant-associated material	plant root/rhizosphere	soil	plant-associated environment					absent	Host raw	tomato	host_context_router
tomato	GCA_000259895.1	Streptomyces sp. TOR3209	SAMN02469879		tomato	Solanum lycopersicum		tomato rhizosphere		plant-associated material	plant-associated material	plant root/rhizosphere	soil	plant-associated environment					absent	Isolation Source raw	tomato rhizosphere	host_context_router
tomato	GCA_000297355.1	Pseudomonas aeruginosa E2	SAMN02471987		absent	Solanum lycopersicum		tomato plant		plant-associated material	plant-associated material	plant-associated material		plant-associated environment					absent	Isolation Source raw	tomato plant	host_context_router
tomato	GCA_000331875.1	Ralstonia solanacearum FJAT-91	SAMN02469793		absent	Solanum lycopersicum		healthy tomato plant		plant-associated material	plant-associated material	plant-associated material		plant-associated environment		healthy/no disease reported	healthy		China	Isolation Source raw	healthy tomato plant	host_context_router
tomato	GCA_000331895.1	Ralstonia solanacearum FJAT-1458	SAMN02469797		absent	Solanum lycopersicum		healthy tomato plant		plant-associated material	plant-associated material	plant-associated material		plant-associated environment		healthy/no disease reported	healthy		China	Isolation Source raw	healthy tomato plant	host_context_router
tomato	GCA_000442555.1	Paenibacillus alvei TS-15	SAMN01816161		absent			tomato soil	environmental sample	plant/produce food product	food		soil	terrestrial environment					United States	Isolation Source raw	tomato soil	food_source_context
tomato	GCA_000474375.1	Salmonella enterica subsp. enterica serovar Newport str. #11-2	SAMN01816172		absent			tomato											absent	Isolation Source raw	tomato	missing
tomato	GCA_000482005.1	Pseudomonas aeruginosa E2	SAMN02360657		unknown			Environmental (tomato plant)	environmental sample	environmental material	environmental material		air	environmental sample					United States	Isolation Source raw	Environmental (tomato plant)	environment_context_router
tomato	GCA_000487575.2	Salmonella enterica subsp. enterica serovar Anatum str. ATCC BAA-1592	SAMN01813417		absent			tomato											United States	Isolation Source raw	tomato	missing
tomato	GCA_000696345.2	Pseudomonas donghuensis	SAMN02615698		absent			rhizosphere of tomato plant		plant-associated material	plant-associated material	plant root/rhizosphere	soil	plant-associated environment					Poland	Isolation Source raw	rhizosphere of tomato plant	host_context_router
tomato	GCA_000722375.1	Streptomyces durhamensis	SAMN02645373		absent			soil from potted tomato plant		plant-associated material	plant-associated material		soil	plant-associated environment					United States	Isolation Source raw	soil from potted tomato plant	host_context_router
tomato	GCA_000725475.1	Streptomyces durhamensis	SAMN02645292		absent			soil from potted tomato plant		plant-associated material	plant-associated material		soil	plant-associated environment					United States	Isolation Source raw	soil from potted tomato plant	host_context_router
tomato	GCA_000756225.1	Candidatus Liberibacter solanacearum	SAMN02847832		tomato	Solanum lycopersicum		missing											United States	Host raw	tomato	missing
tomato	GCA_000774145.1	Pseudomonas mediterranea CFBP 5447	SAMN03112705		absent			tomato											Italy	Isolation Source raw	tomato	missing
tomato	GCA_000800665.1	Xanthomonas perforans	SAMN03114863		absent			tomato											Italy	Isolation Source raw	tomato	missing
tomato	GCA_000934565.1	Pseudomonas simiae	SAMN03372067		Solanum lycopersicum	Solanum lycopersicum		tomato rhizosphere		plant-associated material	plant-associated material	plant root/rhizosphere	soil	plant-associated environment					Uzbekistan	Isolation Source raw	tomato rhizosphere	host_context_router
