review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
turkey	GCA_000014845.1	Escherichia coli APEC O1	SAMN02603424		absent	Meleagris gallopavo		lesion site (lung) of a dead turkey with colibacillosis	poultry meat	poultry meat/product	food/meat						dead		Turkey	Isolation Source raw	lesion site (lung) of a dead turkey with colibacillosis	food_source_context
turkey	GCA_000183155.1	Riemerella anatipestifer ATCC 11845 = DSM 15868	SAMN00138930		Anas platyrhynchos (duck), gucks, geese,turkeys and waterfowls distributed worldwide	Anas platyrhynchos		blood	blood	clinical/host-associated material	clinical/host-associated material					sepsis/bacteremia	diseased		United States	Host raw	Anas platyrhynchos (duck), gucks, geese,turkeys and waterfowls distributed worldwide	sample_context_router
turkey	GCA_000184825.2	Campylobacter jejuni subsp. jejuni 305	SAMN02469772		turkey	Meleagris gallopavo		slaughterhouse	food processing environment	food processing environment	food/processing environment								absent	Host raw	turkey	food_source_context
turkey	GCA_000184845.2	Campylobacter jejuni subsp. jejuni 327	SAMN02469774		turkey	Meleagris gallopavo		slaughterhouse	food processing environment	food processing environment	food/processing environment								absent	Host raw	turkey	food_source_context
turkey	GCA_000253475.2	Campylobacter coli 2548	SAMN02429054		turkey	Meleagris gallopavo													United States	Host raw	turkey	missing
turkey	GCA_000253495.2	Campylobacter coli 2553	SAMN02428967		turkey	Meleagris gallopavo													United States	Host raw	turkey	missing
turkey	GCA_000253515.2	Campylobacter coli 2680	SAMN02429055		turkey	Meleagris gallopavo													United States	Host raw	turkey	missing
turkey	GCA_000253535.2	Campylobacter coli 2685	SAMN02429056		turkey	Meleagris gallopavo													United States	Host raw	turkey	missing
turkey	GCA_000253555.2	Campylobacter coli 2688	SAMN02429017		turkey	Meleagris gallopavo													United States	Host raw	turkey	missing
turkey	GCA_000253575.2	Campylobacter coli 2692	SAMN02428968		turkey	Meleagris gallopavo													United States	Host raw	turkey	missing
turkey	GCA_000253595.2	Campylobacter coli 2698	SAMN02429018		turkey	Meleagris gallopavo													United States	Host raw	turkey	missing
turkey	GCA_000256625.1	Salmonella enterica subsp. enterica serovar Heidelberg str. 41579	SAMN01816202		absent	Meleagris gallopavo		ground turkey	turkey meat	turkey meat/product	food/meat								United States	Isolation Source raw	ground turkey	food_source_context
turkey	GCA_000265465.1	Ornithobacterium rhinotracheale DSM 15997	SAMN02261366		Turkey	Meleagris gallopavo		Turkey, respiratory tract; United Kingdom	respiratory sample	clinical/host-associated material	clinical/host-associated material	respiratory tract							United Kingdom	Host raw	Turkey	sample_context_router
turkey	GCA_000265465.1	Ornithobacterium rhinotracheale DSM 15997	SAMN02261366		Turkey	Meleagris gallopavo		Turkey, respiratory tract; United Kingdom	respiratory sample	clinical/host-associated material	clinical/host-associated material	respiratory tract							United Kingdom	Isolation Source raw	Turkey, respiratory tract; United Kingdom	sample_context_router
turkey	GCA_000272555.1	Salmonella enterica subsp. enterica serovar Newport str. CVM 21559	SAMN01805324		Meleagris gallopavo	Meleagris gallopavo		turkey											absent	Isolation Source raw	turkey	missing
turkey	GCA_000272675.1	Salmonella enterica subsp. enterica serovar Newport str. CVM 33953	SAMN01765622		absent	Meleagris gallopavo		ground turkey	turkey meat	turkey meat/product	food/meat								United States	Isolation Source raw	ground turkey	food_source_context
turkey	GCA_000272815.2	Salmonella enterica subsp. enterica serovar Newport str. CVM N18486	SAMN01816117		absent	Meleagris gallopavo		Turkey, Ground	turkey meat	turkey meat/product	food/meat								United States	Isolation Source raw	Turkey, Ground	food_source_context
turkey	GCA_000284795.1	Salmonella enterica subsp. enterica serovar Heidelberg str. 41566	SAMN01816203		absent	Meleagris gallopavo		Turkey, Ground	turkey meat	turkey meat/product	food/meat								United States	Isolation Source raw	Turkey, Ground	food_source_context
turkey	GCA_000284815.1	Salmonella enterica subsp. enterica serovar Heidelberg str. 41565	SAMN01816204		absent	Meleagris gallopavo		Turkey, Ground	turkey meat	turkey meat/product	food/meat								United States	Isolation Source raw	Turkey, Ground	food_source_context
turkey	GCA_000298555.2	Chlamydia psittaci NJ1	SAMN02604214		Meleagris gallopavo	Meleagris gallopavo		turkey											United States	Isolation Source raw	turkey	missing
