review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
vegetable	GCA_000265445.1	Paenibacillus polymyxa OSY-DF	SAMN02471151		absent			fermented vegetable (Kimchee) from a local store	vegetable	plant/produce food product	food								United States	Isolation Source raw	fermented vegetable (Kimchee) from a local store	food_source_context
vegetable	GCA_000277645.1	Weissella koreensis KCTC 3621	SAMN02469598		absent			kimchi, fermented-vegetable foods produced in Korea	vegetable	plant/produce food product	food								South Korea	Isolation Source raw	kimchi, fermented-vegetable foods produced in Korea	food_source_context
vegetable	GCA_000296715.2	Brevibacillus brevis X23	SAMN02469906		absent			soil of vegetable field	vegetable	plant/produce food product	food		soil	terrestrial environment					China	Isolation Source raw	soil of vegetable field	food_source_context
vegetable	GCA_000425885.1	Schleiferilactobacillus harbinensis DSM 16991	SAMN02440850		absent			Traditional Chinese fermented vegetables (Suan cai)		plant/produce food product	food								China	Environment Broad raw	Vegetables	food_source_context
vegetable	GCA_000425885.1	Schleiferilactobacillus harbinensis DSM 16991	SAMN02440850		absent			Traditional Chinese fermented vegetables (Suan cai)		plant/produce food product	food								China	Isolation Site raw	Traditional Chinese fermented vegetables (Suan cai)	food_source_context
vegetable	GCA_000425885.1	Schleiferilactobacillus harbinensis DSM 16991	SAMN02440850		absent			Traditional Chinese fermented vegetables (Suan cai)		plant/produce food product	food								China	Isolation Source raw	Traditional Chinese fermented vegetables (Suan cai)	food_source_context
vegetable	GCA_000439655.1	Clostridium botulinum CFSAN002369	SAMN01940926		absent			spinach						food-associated environment					United States	Host Disease raw	vegetable row crops (leafy)	missing
vegetable	GCA_000442555.1	Paenibacillus alvei TS-15	SAMN01816161		absent			tomato soil	environmental sample	plant/produce food product	food		soil	terrestrial environment					United States	Host Disease raw	seeded vegetables (solanaceous)	food_source_context
vegetable	GCA_000465555.2	Pantoea dispersa EGD-AAK13	SAMN02469686		absent			vegetable market soil	vegetable	environmental material	environmental material		soil	terrestrial environment					India	Isolation Source raw	vegetable market soil	environment_context_router
vegetable	GCA_000465635.2	Acinetobacter baumannii EGD-HP18	SAMN02469690		absent			vegetable market soil	vegetable	environmental material	environmental material		soil	terrestrial environment					India	Isolation Source raw	vegetable market soil	environment_context_router
vegetable	GCA_000585375.1	Cryptosporangium arvum DSM 44712	SAMN02849401		absent			Cultivated soil from a vegetable field in Japan	vegetable	plant/produce food product	food		soil	terrestrial environment					Japan	Isolation Site raw	Cultivated soil from a vegetable field in Japan	food_source_context
vegetable	GCA_000585375.1	Cryptosporangium arvum DSM 44712	SAMN02849401		absent			Cultivated soil from a vegetable field in Japan	vegetable	plant/produce food product	food		soil	terrestrial environment					Japan	Isolation Source raw	Cultivated soil from a vegetable field in Japan	food_source_context
vegetable	GCA_000828425.1	Bacillus safensis	SAMN03267272		absent			vegetables and fermented vegetable products	vegetable	plant/produce food product	food								Netherlands	Isolation Source raw	vegetables and fermented vegetable products	food_source_context
vegetable	GCA_000980985.1	Obesumbacterium proteus	SAMN03466600		absent			vegetable											Malaysia	Isolation Source raw	vegetable	missing
vegetable	GCA_000980985.1	Obesumbacterium proteus	SAMN03466600		absent			vegetable											Malaysia	Sample Type raw	Vegetable	missing
vegetable	GCA_001008665.1	Bacillus cereus	SAMN03267267		absent			vegetables and (fermented) vegetable products	vegetable	plant/produce food product	food								Netherlands	Isolation Source raw	vegetables and (fermented) vegetable products	food_source_context
vegetable	GCA_001044825.1	Bacillus cereus	SAMN03325941		absent			stew with vegetables, food poisoning	food product	food/food product	food			food-associated environment					Norway	Isolation Source raw	stew with vegetables, food poisoning	food_source_context
vegetable	GCA_001190005.1	Lactobacillus delbrueckii subsp. allosunkii	SAMN03852102		absent			sunki, Japanese traditional fermented vegetable	cell culture	plant/produce food product	food								North Korea	Isolation Source raw	sunki, Japanese traditional fermented vegetable	food_source_context
vegetable	GCA_001296095.1	Lactiplantibacillus plantarum	SAMN03952027		absent			sauerkraut		environmental material	environmental material		agricultural/food-production water						China	Environment Medium raw	water, vegetable	environment_context_router
vegetable	GCA_001410335.1	Salmonella enterica subsp. enterica serovar Weltevreden	SAMEA2336308		Vegetable			vegetable											absent	Host raw	Vegetable	missing
