review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
water	GCA_000012805.1	Nitrosococcus oceani ATCC 19707	SAMN02598329		absent			seawater		environmental material	environmental material		seawater	marine environment					Atlantic Ocean	Environment Broad raw	surface waters	environment_context_router
water	GCA_000012805.1	Nitrosococcus oceani ATCC 19707	SAMN02598329		absent			seawater		environmental material	environmental material		seawater	marine environment					Atlantic Ocean	Environment Medium raw	seawater	environment_context_router
water	GCA_000012805.1	Nitrosococcus oceani ATCC 19707	SAMN02598329		absent			seawater		environmental material	environmental material		seawater	marine environment					Atlantic Ocean	Isolation Source raw	seawater	environment_context_router
water	GCA_000023065.1	Tolumonas auensis DSM 9187	SAMN02598508		absent			sediment of freshwater lake		environmental material	environmental material		freshwater	freshwater environment	lake				Switzerland	Isolation Site raw	freshwater mud	environment_context_router
water	GCA_000023065.1	Tolumonas auensis DSM 9187	SAMN02598508		absent			sediment of freshwater lake		environmental material	environmental material		freshwater	freshwater environment	lake				Switzerland	Isolation Source raw	sediment of freshwater lake	environment_context_router
water	GCA_000023925.1	Kytococcus sedentarius DSM 20547	SAMN02598443		absent			slide submerged in sea water probably in San Diego		environmental material	environmental material		agricultural/food-production water	marine environment		pneumonia	diseased		United States	Isolation Site raw	slide submerged in sea water probably in San Diego	environment_context_router
water	GCA_000023925.1	Kytococcus sedentarius DSM 20547	SAMN02598443		absent			slide submerged in sea water probably in San Diego		environmental material	environmental material		agricultural/food-production water	marine environment		pneumonia	diseased		United States	Isolation Source raw	slide submerged in sea water probably in San Diego	environment_context_router
water	GCA_000024165.1	Candidatus Accumulibacter phosphatis	SAMN02598465		absent			enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor		environmental material	environmental material		wastewater	wastewater/sewage					United States	Isolation Site raw	enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor	environment_context_router
water	GCA_000024165.1	Candidatus Accumulibacter phosphatis	SAMN02598465		absent			enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor		environmental material	environmental material		wastewater	wastewater/sewage					United States	Isolation Source raw	enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor	environment_context_router
water	GCA_000025485.1	Allochromatium vinosum DSM 180	SAMN02598487		absent			Ditch water		environmental material	environmental material		drainage/runoff water						absent	Isolation Site raw	Ditch water	environment_context_router
water	GCA_000025485.1	Allochromatium vinosum DSM 180	SAMN02598487		absent			Ditch water		environmental material	environmental material		drainage/runoff water						absent	Isolation Source raw	Ditch water	environment_context_router
water	GCA_000025705.1	Sideroxydans lithotrophicus ES-1	SAMN02598496		absent			iron contaminated groundwater in Michigan		environmental material	environmental material		groundwater		groundwater				United States	Isolation Site raw	iron contaminated groundwater in Michigan	environment_context_router
water	GCA_000025705.1	Sideroxydans lithotrophicus ES-1	SAMN02598496		absent			iron contaminated groundwater in Michigan		environmental material	environmental material		groundwater		groundwater				United States	Isolation Source raw	iron contaminated groundwater in Michigan	environment_context_router
water	GCA_000025885.1	Aminobacterium colombiense DSM 12261	SAMN02598488		absent			Anaerobic lagoon of dairy wastewater treatment plant in Colombia		environmental material	environmental material		wastewater	wastewater/sewage					Colombia	Isolation Site raw	Anaerobic lagoon of dairy wastewater treatment plant in Colombia	environment_context_router
water	GCA_000025885.1	Aminobacterium colombiense DSM 12261	SAMN02598488		absent			Anaerobic lagoon of dairy wastewater treatment plant in Colombia		environmental material	environmental material		wastewater	wastewater/sewage					Colombia	Isolation Source raw	Anaerobic lagoon of dairy wastewater treatment plant in Colombia	environment_context_router
water	GCA_000025905.1	Coraliomargarita akajimensis DSM 45221	SAMN02598501		absent			Seawater surrounding the hard coral x Galaxea fascicularis; Majanohama, Akajima, Japan		environmental material	environmental material		seawater	marine environment					Japan	Isolation Site raw	Seawater surrounding the hard coral x Galaxea fascicularis; Majanohama, Akajima, Japan	environment_context_router
water	GCA_000025905.1	Coraliomargarita akajimensis DSM 45221	SAMN02598501		absent			Seawater surrounding the hard coral x Galaxea fascicularis; Majanohama, Akajima, Japan		environmental material	environmental material		seawater	marine environment					Japan	Isolation Source raw	Seawater surrounding the hard coral x Galaxea fascicularis; Majanohama, Akajima, Japan	environment_context_router
water	GCA_000092105.1	Planctopirus limnophila DSM 3776	SAMN02598463		absent			surface water		environmental material	environmental material		surface water						absent	Isolation Site raw	Surface water	environment_context_router
water	GCA_000092105.1	Planctopirus limnophila DSM 3776	SAMN02598463		absent			surface water		environmental material	environmental material		surface water						absent	Isolation Source raw	surface water	environment_context_router
water	GCA_000092425.1	Truepera radiovictrix DSM 17093	SAMN02598522		absent			hot spings runoff		hot spings runoff									Portugal	Isolation Site raw	Water sample from a hot spring runoffs on the Island of Sco Miguel in the Azores, Portugal	standardizer
