isolation_site_sd,assembly_count
feces/stool,313761
blood,131484
gastrointestinal tract,103632
urine,71194
sterile body site,46777
rectum/perianal region,36352
sputum,36003
whole organism,35462
nasopharynx/oropharynx,29951
wound,21683
skin/body surface,18789
nasal cavity/sinus/upper respiratory tract,17920
organ/tissue site,17769
lower respiratory tract/bronch/pleural cavity,17738
oral cavity,14437
respiratory tract,11118
body fluid,10264
plant-associated material,8964
plant root/rhizosphere,8574
urogenital tract,6968
leaf tissue,6869
cerebrospinal fluid,5264
manure,4577
abscess,4087
gut content,3255
root,2950
pus,2646
tracheal aspirate,2585
gastric biopsy,2542
cervix,1165
plant stem,977
breast,972
vagina,675
tonsil/oropharyngeal site,639
cloaca,326
bronchoalveolar lavage fluid,258
uterus,226
cubital fossa,225
liver,6
nasal site,6
brain,5
placenta,4
catheter,2
ear,2
skin,2
bone,1
