isolation_source_sd_broad,assembly_count
clinical/host-associated material,586193
feces/stool,323660
water,153866
metadata descriptor / non-source,131799
food/meat,127030
soil,69379
sediment,53213
environmental material,47883
upper respiratory tract,35060
food,35030
clinical fluid/material,28154
healthcare-associated environment,27872
culture,27418
plant-associated material,23591
wastewater/sewage,19115
food/dairy,18000
host-associated context,15251
environmental/geologic material,14394
surface sample,11652
swab,10904
aquatic food product,8595
laboratory environment,8159
tissue,7562
built environment,5878
agricultural environment,5856
biofilm,5147
wastewater/organic waste,4511
surface/sample collection material,4398
single cell,3997
culture/isolate,3692
sample,3272
gut content,2791
medical device,2147
food/produce,1839
agricultural fecal material,1693
animal tissue/site,749
molecular extract,661
cloacal sample,437
food/plant product,296
culture medium,101
culture/assembly,43
biological/clinical product,36
food/processing environment,1
