isolation_source_sd,assembly_count,recommended_action
soil,69379,route_to_environment_medium
sediment,45521,route_to_environment_medium
lake water,32715,route_to_environment_medium
seawater,27293,route_to_environment_medium
hot spring water,14839,route_to_environment_medium
sewage,13739,route_to_environment_medium
wastewater,12891,route_to_environment_medium
agricultural/food-production water,11873,route_to_environment_medium
groundwater,11686,route_to_environment_medium
marine sediment,6511,route_to_environment_medium
biofilm,5147,route_to_environment_medium
pond water,3768,route_to_environment_medium
sludge,3165,route_to_environment_medium
environmental water,2262,route_to_environment_medium
water,1923,route_to_environment_medium
water column,1557,route_to_environment_medium
saline/brine water,1401,route_to_environment_medium
terrestrial environment,1368,route_to_environment_medium
hospital wastewater,1266,route_to_environment_medium
healthcare-associated environment,1127,route_to_environment_medium
tidal flat sediment,974,route_to_environment_medium
hospital sewage,943,route_to_environment_medium
drinking/distribution water,934,route_to_environment_medium
air,752,route_to_environment_medium
estuarine water,692,route_to_environment_medium
domestic wastewater,673,route_to_environment_medium
built-environment water,593,route_to_environment_medium
brackish water,453,route_to_environment_medium
built environment surface,380,route_to_environment_medium
spring water,321,route_to_environment_medium
irrigation water,260,route_to_environment_medium
geologic/produced water,155,route_to_environment_medium
salt marsh sediment,130,route_to_environment_medium
agricultural/aquaculture water,129,route_to_environment_medium
produced water,114,route_to_environment_medium
ice water,100,route_to_environment_medium
surface/open water,100,route_to_environment_medium
chemically distinct water,74,route_to_environment_medium
mud/sediment,74,route_to_environment_medium
drainage/runoff water,44,route_to_environment_medium
surface water,29,route_to_environment_medium
food-processing water,23,route_to_environment_medium
mine water,16,route_to_environment_medium
cave/cryoconite water,15,route_to_environment_medium
"combination of 24 samples (8 from lake Croche, 8 from Montjoie and 8 from Simoncouche) collected from 2013 through 2014",13,route_to_environment_medium
running water,8,route_to_environment_medium
aquarium/aquaculture water,3,route_to_environment_medium
landfill/leachate water,3,route_to_environment_medium
retting water,3,route_to_environment_medium
activated sludge,2,route_to_environment_medium
Envirnoment (water),1,route_to_environment_medium
Glacial forefield (soil),1,route_to_environment_medium
North Sea (bottom water),1,route_to_environment_medium
North Sea (sediment),1,route_to_environment_medium
North Sea (surface water),1,route_to_environment_medium
adult insects fed liquid diet (100% cellulose matrix soaked in 11% saccharose in water),1,route_to_environment_medium
"cold and windy area with dry gravely dark soils (5 cm deep, characterized by having a low depth of soil before hitting a layer of rock)",1,route_to_environment_medium
food-processing environment,1,route_to_environment_medium
mangrove mud (15 cm under soil surface),1,route_to_environment_medium
mud bottom (0-1cm deep and water deep: 5m),1,route_to_environment_medium
pond sediment,1,route_to_environment_medium
river sediment,1,route_to_environment_medium
river water,1,route_to_environment_medium
viscous gel (biofilm),1,route_to_environment_medium
water/sediment mixture,1,route_to_environment_medium
