isolation_source_sd,assembly_count,recommended_action
metagenome,90676,route_to_non_source_descriptor
metadata descriptor/non-source,40577,route_to_non_source_descriptor
clinical sample,35760,route_to_non_source_descriptor
respiratory sample,11342,route_to_non_source_descriptor
whole organism,10999,route_to_non_source_descriptor
sample,2934,route_to_non_source_descriptor
metadata descriptor / non-source,546,route_to_non_source_descriptor
cloacal sample,437,route_to_non_source_descriptor
whole genome sequencing sample,335,route_to_non_source_descriptor
metagenomic assembly,43,route_to_non_source_descriptor
environmental sample,24,route_to_non_source_descriptor
under Pandanus Unknown,4,route_to_non_source_descriptor
Bovine Unknown,3,route_to_non_source_descriptor
Product-Rinse-Unknown species,3,route_to_non_source_descriptor
source/sample material,3,route_to_non_source_descriptor
Elaeagnus angustifolia foliage harboring unknown insect,2,route_to_non_source_descriptor
Evap (midpoint from sample petcock) - Liquid (WIP),1,route_to_non_source_descriptor
Product-Raw-Intact-Unknown species,1,route_to_non_source_descriptor
Zoo Ostrava (mixed sample),1,route_to_non_source_descriptor
ficus Unknown Tree,1,route_to_non_source_descriptor
nature unknown,1,route_to_non_source_descriptor
source of origin unknown,1,route_to_non_source_descriptor
"strain EV G. Gerard, G Robic (Vaccine strain EV line NIIEG is mutant strain, was isolated from other stain EV Gerard and Robic)",1,route_to_non_source_descriptor
