isolation_source_sd,assembly_count,recommended_action
feces/stool,323660,route_to_sample_type
blood,128734,route_to_sample_type
urine,71406,route_to_sample_type
clinical sample,35760,route_to_non_source_descriptor
sputum,34987,route_to_sample_type
respiratory sample,11342,route_to_non_source_descriptor
body fluid,10887,route_to_sample_type
milk,9983,route_to_sample_type
cerebrospinal fluid,6197,route_to_sample_type
surveillance swab,4821,route_to_sample_type
sample,2934,route_to_non_source_descriptor
gastric biopsy,2791,route_to_sample_type
tracheal aspirate,2697,route_to_sample_type
pus,2601,route_to_sample_type
aspirate,2559,route_to_sample_type
fecal/stool swab,2293,route_to_sample_type
leaf tissue,2020,route_to_sample_type
Tissue,1915,route_to_sample_type
biopsy,1492,route_to_sample_type
cloacal swab,1482,route_to_sample_type
tissue,1367,route_to_sample_type
environmental swab,741,route_to_sample_type
food/animal-production swab,668,route_to_sample_type
oropharyngeal/throat swab,627,route_to_sample_type
cloacal sample,437,route_to_non_source_descriptor
swab,427,route_to_sample_type
whole genome sequencing sample,335,route_to_non_source_descriptor
soft tissue,282,route_to_sample_type
respiratory swab,275,route_to_sample_type
wound/lesion/abscess swab,263,route_to_disease_or_health_state
Tissue (Specify:),114,route_to_sample_type
pooled tissue,110,route_to_sample_type
clinical swab,109,route_to_sample_type
TISSUE,95,route_to_sample_type
Connective tissue,91,route_to_sample_type
Gastric tissue,87,route_to_sample_type
internal-site swab,82,route_to_sample_type
Broncho-alveolar lavage,73,route_to_sample_type
fermented milk/dairy product,64,route_to_sample_type
Tick tissue,63,route_to_sample_type
tissue pool,62,route_to_sample_type
Infected tissue,55,route_to_disease_or_health_state
periprosthetic tissue,55,route_to_sample_type
Gall bladder tissue,54,route_to_sample_type
teat/nipple swab,43,route_to_sample_type
lavage,41,route_to_sample_type
plasma,40,route_to_sample_type
Soft tissue,37,route_to_sample_type
broncho-alveolar lavage,35,route_to_sample_type
Tissue Pool,30,route_to_sample_type
Tissue fragment,30,route_to_sample_type
Deep Tissue,29,route_to_sample_type
Animal Tissue,27,route_to_sample_type
coral tissue,27,route_to_sample_type
serum,27,route_to_sample_type
Nasopharygneal lavage,24,route_to_sample_type
environmental sample,24,route_to_non_source_descriptor
Plasma,23,route_to_sample_type
Macroalgal tissue,22,route_to_sample_type
kelp blade whole tissue extract,22,route_to_sample_type
citrus infected tissue,21,route_to_disease_or_health_state
tissue composite,21,route_to_sample_type
Tumor tissue,17,route_to_sample_type
tissue samples,17,route_to_sample_type
Deep tissue,15,route_to_sample_type
Tracheal lavage,15,route_to_sample_type
prostatic tissue,15,route_to_sample_type
Homogenized tissue,14,route_to_sample_type
Pooled Tissue,13,route_to_sample_type
Soft Tissue,13,route_to_sample_type
guttural pouch lavage,13,route_to_sample_type
Coral tissue,12,route_to_sample_type
Toe Tissue,12,route_to_sample_type
periprosthetic tissue specimen,12,route_to_sample_type
Guttural pouch lavage,11,route_to_sample_type
Hip Tissue,11,route_to_sample_type
"Tissue, Ankle",11,route_to_sample_type
"Tissue, Finger",11,route_to_sample_type
"Tissue, Hand",11,route_to_sample_type
bacteriome tissue,11,route_to_sample_type
Bronchalveolar Lavage,10,route_to_sample_type
LPD bulk tissue,10,route_to_sample_type
"Tissue, Elbow",10,route_to_sample_type
"Tissue, Knee",10,route_to_sample_type
Whole tissue homogenate,10,route_to_sample_type
polyp tissue,10,route_to_sample_type
sterile tissue,10,route_to_sample_type
Pooled tissue,9,route_to_sample_type
Tissue from head,9,route_to_sample_type
Tissue specimen,9,route_to_sample_type
"Tissue, Thigh",9,route_to_sample_type
colorectal cancer tissue,9,route_to_disease_or_health_state
left ventricle apex tissue,9,route_to_sample_type
Nasobronchial lavage,8,route_to_sample_type
Tissue pool,8,route_to_sample_type
"Tissue, Arm",8,route_to_sample_type
young gall tissue,8,route_to_sample_type
Gastric Tissue (Unspecified),7,route_to_sample_type
Tissue ulcer,7,route_to_sample_type
"Tissue, Forearm",7,route_to_sample_type
broncoalveolar lavage,7,route_to_sample_type
gastric lavage,7,route_to_sample_type
