raw_isolation_source,assembly_count
human,166402
chicken,9322
patient,7310
not known,4507
human feces,4225
animal-swine-market swine,3937
animal-cattle-dairy cow,3900
animal-cattle-steer,3578
animal-chicken-young chicken,3547
animal,3230
Poultry,2763
human listeriosis,2475
pig,2401
animal-cattle-heifer,2147
animal-swine-sow,1968
turkey,1658
human stool,1550
bovine,1462
Human faeces,1400
Animal-Turkey-Young Turkey,1399
cattle,1377
Chicken Wings,1294
Chicken Thighs,1159
Hospitalized patient,1017
animal-cattle-beef cow,1004
fly,943
cattle manure,936
cow,899
Chicken caeca,869
Homo sapiens,831
Chicken Breasts,818
not available: to be reported later,785
Chicken Legs,721
Retail chicken,700
fish,696
human-associated habitat,679
healthy people,672
equine,592
cattle feces,527
Animal-Sheep-Lamb (cecal),511
Non-hospitalized person,497
pulmonary sample from from cystic fibrosis patient,496
Chicken Gizzard,494
dog,490
dairy cattle manure,482
Human bacterial culture,466
canine,460
Human infection,454
swine,445
duck,441
Animal-Sheep-Mature Sheep (cecal),413
poultry,407
Human Stool,402
avian,400
Companion animal,375
poultry manure,365
human - faeces,355
chicken litter,346
"Human, Blood",343
Animal-Chicken-Heavy Fowl,338
Cattle faeces,321
human blood,310
goat,309
Host,308
tracheal aspirates from patient ventilator,306
low methane producing sheep,305
Chicken faeces,300
mosquito,296
Human sample,289
human - bacteraemia,288
isolate from patient sample,287
human sputum,284
Feces of Homo sapiens (GER),277
soil adjacent to human cadaver hip,277
Feces of Homo sapiens (DK),275
Infants,271
homo,271
chicken feces,268
Human blood sample,267
Chicken Gizzard (Giblets),265
feces from patient with diarrhea,260
"Human, Stool",253
Human stool,252
cattle fecal samples,250
Human body sites or biosamples,244
feral pig,241
chickens,238
sheep,236
Human urine,233
high methane producing sheep,222
Chicken thighs,220
Hospital patients,216
human infection,211
whole Stomoxys flies,208
poultry litter,206
Commercial Turkey,201
fecal sample from STEC-infected patient,188
not recorded,187
human biome,184
retail chicken,179
sheep recto-anal junction,178
Patient Sinus Swab,174
human fecal sample,165
Feces of Homo sapiens (DRC),163
poultry feces,161
Feces of Homo sapiens (CIV),160
Cattle feces,149
Fermented cow milk,149
Human Saliva,149
chicken slaughter houses,149
Chicken feces,146
Chicken from wild market,145
Chicken Whole - cut in lab,143
chicken thigh,143
pig stool,142
Poultry slughterhouses,138
Human,137
Fresh chicken,133
Human colorectal mucosa,130
Pooled sheep faecal samples collected from floor of farm,126
Chicken giblets (CL-1),125
patient with infection,124
Chickens,122
Human body,120
Human feces,120
cow paddock straw bedding,120
'missing',119
"human, urine",118
chicken drag swab,115
pig feces,111
Chicken wings,109
human orapharyngeals,108
stool (fecal) sample from asymptomatic human participant,107
pig ears,104
Feral swine feces,103
Poultry environment,103
Chicken instestinal microbiome,100
chicken breasts,98
Chicken breasts,97
NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Chickens,97
packaged whole turkey,97
Cattle Hide,96
blood from patient with bacteremia,96
chicken manure swab,96
intestinal contents of pig,96
Human blood,95
broiler chickens,95
Chicken livers,94
chicken from wet market,94
10 mM sulfoquinovose-amended vegetarian human fecal microcosm,93
chicken wing,93
Poultry internal organs,92
human saliva,91
Avian,90
Pig tissue,90
Chicken neck cute,88
chicken thighs,88
cystic fibrosis patient,87
Chicken carcasses,86
Cystic fibrosis human lung,86
Chicken Hearts,83
Pig stool,82
Chicken Livers,81
human-associated,81
dairy cattle manure digester,80
individual chicken cloaca,77
cow's milk,76
dairy cattle manure (Bos taurus),76
human faeces,76
Poultry [FOODON:00004298],75
chicken manure,75
Raw sheep milk,73
Chicken from supermarket,72
Human Feces,72
Frozen Chicken Shawrma,71
Frozen whole chicken carcasses,70
feces of feedlot cattle,69
cattle stool,68
human urine,68
human carrier,67
cow milk,66
#REF!,65
Human sputum,65
table-egg layer chicken,65
Chicken feather,64
Patient (nasal),64
chicken wings,64
feces cow,64
patient sample,64
Animal-Sheep-Lamb,63
Pig feces,63
human faecal samples,63
missing: control sample,62
non-organic retail chicken,62
Chicken Gizzards,60
Poultry shed,60
homo sapiens,60
Young Chicken,58
not available: not collected,58
Chicken gizzards,57
Whole Chicken,57
asymptomatic patient,57
pig fecal swab,57
"""dairy cattle manure, Bos taurus""",56
Frozen chicken,56
Retail Poultry,56
Chicken environment,55
poultry house overshoe (Gallus gallus domesticus),55
chicken salad,54
diseased pig,54
"pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)",54
chicken cloacal swab,53
chicken giblets,53
Swine manure pit,52
fecal sample from patient with Hemolytic Uremic Syndrome,52
Broiler chickens,51
Chicken giblets (CG-1),51
Chicken gizzard,50
Unknown/Unspecified,50
Swine body,49
Chicken Mixed Parts,48
Human isolate,48
Pooled sheep fecal samples collected from floor of farm,48
feedlot cattle feces,48
Chicken Giblets,47
