environment_local_scale_sd,assembly_count
gut/fecal local context,407314
lake,42079
healthcare facility,26917
coastal area,17767
hot spring,16510
activated sludge,13130
groundwater,12834
river,12246
wetland,10771
stream,8963
farm,7259
urban area,6195
agricultural land,5599
estuary,4819
cold seep,4658
pond,3998
intensive care unit,2869
cave,2697
laboratory,2481
canal,2123
agricultural environment,1441
food processing facility,1415
dairy farm,1225
glacier,1175
subsurface shale,881
long-term care facility,843
irrigation canal,840
non-food-contact surface,809
surface water layer,795
agricultural field,579
rumen/gut content,474
food-contact surface,373
cleanroom floor,325
cleanroom,181
environmental surface,174
agricultural ecosystem,127
mariculture biome,43
agricultural feature,25
healthcare facility surface,5
biofilter,3
hypolithic environment,3
built environment surface,1
