host_disease_sd,assembly_count
infectious disease,6494
Clostridioides difficile infection,5801
healthy/no disease reported,4589
tuberculosis,3724
cystic fibrosis,3092
diarrheal disease,2924
listeriosis,2527
urinary tract infection,2360
sepsis/bacteremia,2095
pertussis,1674
pneumonia,1552
skin and soft tissue infection,1393
gastritis,1374
neoplasm/cancer,1235
otitis media,1090
diseased,1073
prostatic neoplasm,965
obesity,893
respiratory disease,843
legionellosis,761
mastitis,742
breast neoplasm,706
Buruli ulcer,624
healthcare-associated infection,603
tularemia,591
yersiniosis,513
syphilis,495
brucellosis,477
melioidosis,468
gastroenteritis,450
diphtheria,426
respiratory infection,424
leptospirosis,398
Lyme disease,350
colitis,346
diabetes mellitus,342
lung neoplasm,342
scleroderma,302
intra-abdominal infection,280
endocarditis,264
glaucoma,237
bronchiectasis,228
wound infection,211
leukemia,188
periodontal disease,188
osteomyelitis,164
abortion/reproductive disorder,146
meningitis,98
adenocarcinoma,71
inflammatory bowel disease,54
surgical site infection,42
alcohol-related disorder,8
traumatic brain injury,7
dental caries,5
lymphoma,4
salmonellosis,3
secondary infection,2
